,式別,馬番,配当,人気
0,単勝,2,1010,4
1,複勝,2,320,5
2,複勝,12,180,2
3,複勝,3,370,6
4,枠連,2-7,1920,7
5,馬連,2-12,2010,5
6,ワイド,2-12,820,8
7,ワイド,2-3,1980,23
8,ワイド,3-12,940,11
9,馬単,2→12,5230,20
10,3連複,2-3-12,8250,26
11,3連単,2→12→3,47190,157
