,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
370,ダート,1800,全,2勝クラス,4.6,7.36,192,23,23,19,22,29,26,22,28,16,14,18,13,14,12,13,18,12,17,13,11,7,4,6,4,0,0
371,ダート,1800,良,2勝クラス,4.27,6.65,126,20,14,13,16,18,17,12,16,15,10,12,8,7,8,7,13,6,11,10,4,4,3,5,3,0,0
372,ダート,1800,稍重,2勝クラス,4.88,6.73,42,3,5,4,5,9,5,5,6,1,4,4,2,6,3,5,5,3,4,2,3,0,0,0,0,0,0
373,ダート,1800,重,2勝クラス,5.54,9.0,18,0,4,1,0,1,3,5,4,0,0,2,3,1,0,0,0,1,2,1,3,2,1,1,1,0,0
374,ダート,1800,不良,2勝クラス,5.66,9.33,6,0,0,1,1,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0
375,ダート,1800,全,3勝クラス,4.09,6.99,69,8,11,9,8,8,10,7,8,5,5,6,6,4,5,7,3,6,5,4,3,3,2,3,2,0,0
376,ダート,1800,良,3勝クラス,4.17,6.92,45,4,7,7,5,4,8,6,4,2,3,5,3,3,5,5,2,1,5,3,3,1,2,1,1,0,0
377,ダート,1800,稍重,3勝クラス,5.33,9.33,3,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
378,ダート,1800,重,3勝クラス,4.33,7.46,15,2,3,1,2,2,2,1,2,2,1,1,1,1,0,1,1,3,0,1,0,2,0,0,1,0,0
379,ダート,1800,不良,3勝クラス,3.5,6.34,6,2,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
380,ダート,1800,全,オープン,4.72,7.75,72,6,7,11,7,6,16,12,7,2,7,4,7,7,3,3,2,6,8,8,4,6,1,4,0,0,0
381,ダート,1800,良,オープン,4.72,7.9,51,4,5,10,5,5,8,9,5,1,4,4,5,7,2,2,1,5,6,4,2,5,1,2,0,0,0
382,ダート,1800,稍重,オープン,5.5,9.72,12,1,0,0,2,1,5,2,1,0,1,0,1,0,0,1,1,1,1,3,1,1,0,1,0,0,0
383,ダート,1800,重,オープン,3.0,3.0,3,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
384,ダート,1800,不良,オープン,5.33,9.0,6,0,1,1,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0
