,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,クラウンウルル,牡2,54.0,△小林脩,菊川,美浦,2022101278,01183,レッドファルクス ,クラウンシトラス ,スニッツェル Snitzel(豪) 
1,2,2,クラリネットソナタ,牝2,55.0,佐々木,田中博,美浦,2022105585,01197,ナダル Nadal(米) ,レニーズゴットジップ Reneesgotzip(米) ,City Zip (米) 
2,3,3,イミグラントソング,牡2,56.0,岩田康,辻,美浦,2022104697,05203,マクフィ Makfi(英) ,エルノルテ ,ディープインパクト 
3,4,4,ジェイルブレイク,牡2,56.0,菅原隆,蛯名利,美浦,2022100831,01129,ディスクリートキャット Discreet Cat(米) ,フーリン ,ダイワメジャー 
4,5,5,シベリアンデネブ,牡2,56.0,松岡,水野,美浦,2022101064,01085,フィエールマン ,シベリアンクラシカ ,Siphon 
5,5,6,ベストシーン,牡2,56.0,丸山,手塚,美浦,2022101388,01127,レイデオロ ,アユサン ,ディープインパクト 
6,6,7,ウインティターニア,牝2,55.0,荻野極,高木,美浦,2022106216,01160,リオンディーズ ,ウインゼノビア ,スクリーンヒーロー 
7,6,8,ナンゴクトップガン,牡2,56.0,岩部,天間,美浦,2022109121,00726,バンブーエール ,サーストンララア ,キングカメハメハ 
8,7,9,アサクサグレース,牝2,55.0,Ｍデムーロ,戸田,美浦,2022100547,05212,フォーウィールドライブ Four Wheel Drive(米) ,チャイニーズフレア ,タヤスツヨシ 
9,7,10,フクシマコウヨウ,牝2,55.0,菅原明,小島,美浦,2022104870,01179,アドマイヤマーズ ,セットプレイ Set Play(米) ,Van Nistelrooy 
10,8,11,ニシノキヨハ,牝2,55.0,三浦,千葉,美浦,2022105239,01122,ブラックタイド ,ウェイクアップマギー Wake Up Maggie(愛) ,ザール Xaar(英) 
11,8,12,メロンパンマニア,牡2,56.0,柴田大,和田雄,美浦,2022102679,01009,ウインブライト ,コスモミール ,ヘクタープロテクター Hector Protector(米) 
