,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040410,1,5,9,マイネルオーシャン,牡4,58.0,国分恭,0:2:00.4,,6,10.0,35.1,6-6,美浦 鹿戸,472,-2
202504040410,2,1,2,パッションリッチ,牡3,56.0,斎藤,0:2:00.5,1,3,5.0,35.3,4-4,美浦 久保田,486,-4
202504040410,3,8,16,ウインアクトゥール,牡4,58.0,黛,0:2:01.0,2.1/2,4,7.6,35.4,9-9,美浦 栗田,442,+2
202504040410,4,6,11,ディーガレジェンド,牡4,58.0,西塚,0:2:01.1,1/2,5,9.0,36.1,2-2,栗東 藤原,470,+4
202504040410,5,3,6,シルバープリペット,牡5,58.0,杉原,0:2:01.2,1,15,127.0,35.2,12-12,美浦 松山,474,+4
202504040410,6,2,3,コスモアバンサ,牡5,58.0,丹内,0:2:01.3,1/2,7,23.1,36.5,1-1,美浦 清水英,492,+4
202504040410,7,3,5,バードウォッチャー,牡4,58.0,吉田隼,0:2:01.4,3/4,8,25.0,35.8,9-9,美浦 国枝,484,+4
202504040410,8,2,4,フルレゾン,牝4,56.0,亀田,0:2:01.5,クビ,1,3.8,36.1,7-7,栗東 池添,464,+20
202504040410,9,6,12,カリーニョ,牡4,58.0,小沢,0:2:01.6,1/2,2,4.3,35.4,15-15,栗東 杉山晴,460,-6
202504040410,10,7,13,マイネルシーマー,牡6,58.0,菊沢,0:2:01.8,1.1/2,12,48.1,35.6,14-14,美浦 青木,480,+6
202504040410,11,4,7,アナレンマ,セ7,58.0,古川吉,0:2:02.0,3/4,14,75.0,36.7,4-4,美浦 中舘,460,0
202504040410,12,4,8,バルダンツァ,牡4,58.0,永島,0:2:02.0,ハナ,10,42.2,35.3,16-16,美浦 天間,470,+18
202504040410,13,5,10,ルーチェロッサ,牝5,56.0,横山琉,0:2:02.0,アタマ,16,173.7,36.1,12-12,美浦 相沢,470,+6
202504040410,14,1,1,ジェモロジー,牝5,56.0,国分優,0:2:02.1,クビ,13,66.1,37.0,2-2,栗東 橋口,512,+14
202504040410,15,7,14,ドゥレイクパセージ,牡4,58.0,鮫島駿,0:2:02.4,1.3/4,9,38.5,36.9,7-7,美浦 堀,470,-2
202504040410,16,8,15,アルファヒディ,セ6,58.0,富田,0:2:02.6,1.1/2,11,43.0,36.7,9-11,栗東 石坂,482,+2
