,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040303,1,8,12,ショウナンダイン,牡2,56.0,丸山,0:1:48.7,,1,2.5,33.6,10-9,美浦 森一,476,-4
202504040303,2,5,7,ローズプリンセス,牝2,55.0,荻野極,0:1:49.0,1.3/4,2,3.6,34.4,3-3,美浦 上原佑,440,+8
202504040303,3,1,1,アイドクレース,牝2,52.0,▲石神道,0:1:49.0,ハナ,4,11.3,33.7,12-11,美浦 金成,430,+2
202504040303,4,4,5,マンサニージャ,牝2,55.0,丹内,0:1:49.1,1/2,3,3.7,34.5,3-3,美浦 菊川,432,0
202504040303,5,3,3,アルカマル,牡2,56.0,杉原,0:1:49.1,ハナ,7,31.1,34.6,2-2,美浦 青木,468,+10
202504040303,6,6,9,フーディエラン,牝2,55.0,横山琉,0:1:49.2,1,5,13.8,34.4,5-5,美浦 田中剛,420,-4
202504040303,7,7,10,ホノボノ,牡2,54.0,◇永島,0:1:49.4,1,8,45.0,35.1,1-1,美浦 尾形,450,+14
202504040303,8,7,11,ガミーヌ,牝2,55.0,武藤,0:1:49.5,1,6,17.0,34.5,7-7,美浦 水野,440,-2
202504040303,9,2,2,キーサーバー,牡2,56.0,小林脩,0:1:49.8,1.1/2,13,176.6,35.0,5-5,美浦 青木,434,0
202504040303,10,8,13,パンジー,牝2,55.0,黛,0:1:49.9,クビ,9,83.5,34.9,7-7,美浦 深山,442,+2
202504040303,11,4,4,カタッポチャン,牝2,55.0,木幡育,0:1:50.4,3.1/2,12,154.0,35.0,9-9,美浦 松永康,416,0
202504040303,12,5,6,メープルタフィー,牝2,52.0,▲上里,0:1:50.8,2,10,94.5,35.2,10-11,美浦 佐藤吉,412,+6
202504040303,13,6,8,アポロンテソーロ,牡2,56.0,菊沢,0:1:51.2,2.1/2,11,103.0,35.1,13-13,美浦 嘉藤,478,+16
