,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040404,1,8,15,ラブリーリディア,牝3,54.0,小沢,0:1:49.3,,3,6.3,33.8,14-13,栗東 中内田,450,+6
202504040404,2,1,2,エアビッグマム,牝3,53.0,☆西塚,0:1:49.4,クビ,5,11.3,34.6,4-4,栗東 笹田,508,-2
202504040404,3,8,16,デイジー,牝4,56.0,江田照,0:1:49.5,1,6,12.2,34.5,6-6,美浦 田中勝,480,+4
202504040404,4,5,10,コキーヌ,牝4,56.0,鮫島駿,0:1:49.6,アタマ,9,21.4,34.4,9-9,美浦 堀,450,+20
202504040404,5,6,11,シェーンシュティア,牝3,54.0,杉原,0:1:49.7,1,4,10.9,34.3,12-10,美浦 林,470,0
202504040404,6,2,4,メランジェ,牝3,54.0,横山琉,0:1:49.7,クビ,7,17.1,35.2,2-2,美浦 田中剛,452,-2
202504040404,7,5,9,ショウナンラフィネ,牝3,52.0,◇永島,0:1:49.9,1,10,36.6,35.7,1-1,栗東 高野,412,+14
202504040404,8,4,8,サンタンドレア,牝3,54.0,亀田,0:1:50.0,1/2,11,52.5,34.3,15-15,栗東 池添,438,-6
202504040404,9,1,1,マジカルワード,牝5,56.0,中井,0:1:50.0,クビ,16,305.2,34.6,11-10,美浦 大竹,448,-4
202504040404,10,3,5,ヴァーナリー,牝3,51.0,▲舟山,0:1:50.1,1/2,8,17.4,35.4,3-3,美浦 古賀,438,+18
202504040404,11,7,13,オタルグリーン,牝4,54.0,△柴田裕,0:1:50.1,ハナ,15,138.3,35.0,6-6,栗東 中竹,456,+4
202504040404,12,6,12,スペシャルバニー,牝3,54.0,菊沢,0:1:50.2,クビ,13,95.2,34.7,12-13,美浦 田村,410,+10
202504040404,13,7,14,サンピアノソナタ,牝4,53.0,▲和田陽,0:1:50.2,クビ,14,102.0,35.3,4-4,美浦 小野,464,+4
202504040404,14,4,7,マーゴットレジーナ,牝3,54.0,斎藤,0:1:50.3,クビ,1,2.5,34.5,16-16,栗東 小林,440,+4
202504040404,15,2,3,トロピカルティー,牝4,56.0,丹内,0:1:50.3,クビ,2,5.3,35.1,9-10,美浦 林,448,-4
202504040404,16,3,6,アクチノータス,牝3,51.0,▲古川奈,0:1:50.6,1.3/4,12,69.9,35.5,6-6,栗東 矢作,476,+8
