,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040307,1,3,3,サンライズプルート,牡5,55.0,▲舟山,0:1:11.5,,1,3.9,36.8,1-1,栗東 東田,480,+2
202504040307,2,5,8,ヒラボクカレラ,牡3,57.0,斎藤,0:1:11.9,2.1/2,3,5.6,36.9,2-2,栗東 奥村豊,462,-6
202504040307,3,4,5,コーラルクラウン,牡3,54.0,▲大久保,0:1:12.0,クビ,2,4.6,36.6,5-5,栗東 福永,496,+16
202504040307,4,6,10,ハッピーパンニャ,牡5,58.0,古川吉,0:1:12.0,クビ,9,26.2,36.0,11-9,美浦 鈴木伸,498,+2
202504040307,5,1,1,アルバニー,牝4,56.0,荻野極,0:1:12.1,クビ,8,18.9,37.1,2-2,栗東 千田,474,-6
202504040307,6,7,12,サンライズブレイク,牡3,57.0,丹内,0:1:12.1,クビ,4,6.7,36.9,4-4,栗東 浜田,514,+8
202504040307,7,4,6,スーパーバイザー,牡4,55.0,▲石田,0:1:12.3,1.1/4,7,11.9,36.2,11-12,美浦 菊沢,470,+2
202504040307,8,6,9,ハヌル,牝4,56.0,嶋田,0:1:12.4,1,6,9.9,36.5,9-9,美浦 岩戸,472,-2
202504040307,9,2,2,グレイスカリヨン,牝5,56.0,横山琉,0:1:12.5,クビ,11,73.4,36.4,11-12,美浦 堀内,460,-2
202504040307,10,8,14,スピリットライズ,セ3,57.0,亀田,0:1:13.2,4,5,7.7,37.4,9-11,栗東 高柳大,432,0
202504040307,11,7,11,セサンパ,牝3,55.0,菊沢,0:1:13.5,1.3/4,12,93.7,37.8,8-8,栗東 寺島,430,-6
202504040307,12,3,4,タッカー,牡4,57.0,☆西塚,0:1:14.3,5,13,223.4,38.9,5-5,美浦 清水英,478,+6
202504040307,13,8,13,ブリッツアロング,牡3,57.0,丸山,0:1:14.8,3,10,45.5,39.4,5-5,美浦 上原博,508,+20
202504040307,14,5,7,タツアレックス,牡4,55.0,▲橋木,0:1:15.8,6,14,247.2,37.4,14-14,美浦 的場,506,0
