,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040401,1,5,6,ガーネットテソーロ,牝2,54.0,☆西塚,0:1:56.0,,3,6.3,39.9,2-2-1-1,美浦 高木,478,+4
202504040401,2,6,8,アルティソナンテ,牝2,55.0,丹内,0:1:56.1,1/2,6,9.3,39.4,7-7-6-7,美浦 萩原,430,+2
202504040401,3,3,3,スマイルガーデン,牝2,55.0,小沢,0:1:56.1,クビ,7,20.0,39.1,7-7-8-8,栗東 西村,474,+12
202504040401,4,5,7,ティナンヴァランタ,牝2,52.0,▲石神道,0:1:56.1,ハナ,5,7.6,39.4,4-4-6-5,美浦 森一,440,+12
202504040401,5,2,2,マーゴットクリュグ,牝2,55.0,古川吉,0:1:56.7,3.1/2,1,3.3,40.3,2-2-4-4,栗東 小林,464,+4
202504040401,6,8,13,ブリスフルイヤー,牝2,52.0,▲石田,0:1:57.1,2.1/2,10,58.3,39.6,11-12-11-10,美浦 新開,464,-8
202504040401,7,6,9,ノリチャンボウルズ,牝2,55.0,国分恭,0:1:57.2,クビ,8,34.8,40.1,11-11-8-8,栗東 西園翔,474,+12
202504040401,8,7,11,ドナソール,牝2,52.0,▲舟山,0:1:57.2,クビ,4,6.8,40.8,4-4-4-5,美浦 畠山,472,+8
202504040401,9,4,4,セラサイト,牝2,55.0,鮫島駿,0:1:58.0,5,2,3.8,41.8,6-6-2-2,栗東 茶木,488,0
202504040401,10,1,1,ゼルノードゥス,牝2,53.0,△柴田裕,0:1:58.3,2,13,120.2,40.3,13-13-12-12,栗東 中竹,478,+4
202504040401,11,4,5,キョウエイハル,牝2,52.0,▲上里,0:1:58.7,2,9,43.0,42.6,1-1-2-2,美浦 伊坂,454,-4
202504040401,12,7,10,カワキタスズリノ,牝2,55.0,横山琉,0:1:59.5,5,12,83.7,42.3,7-7-10-11,美浦 池上,474,-2
202504040401,13,8,12,ルーン,牝2,55.0,斎藤,0:1:59.7,1,11,69.2,41.3,10-10-13-13,栗東 高橋一,468,-10
