,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040403,1,7,7,バトゥカーダ,牡2,54.0,△柴田裕,0:1:53.9,,1,2.7,38.3,2-2-2-2,栗東 安達,488,+4
202504040403,2,4,4,マッドゲイル,牡2,56.0,鮫島駿,0:1:54.5,3.1/2,3,4.5,38.6,5-5-3-3,美浦 上原佑,448,0
202504040403,3,5,5,ユニゾン,牡2,56.0,丹内,0:1:54.6,1/2,2,3.5,38.1,9-9-9-8,美浦 菊川,450,-6
202504040403,4,6,6,カナタコナタ,牡2,56.0,杉原,0:1:54.9,2,4,4.7,39.0,3-3-3-3,栗東 高橋一,488,+4
202504040403,5,8,9,サンライズアーサー,牡2,56.0,小沢,0:1:55.3,2,6,23.5,39.3,4-4-3-3,栗東 前川,492,+2
202504040403,6,7,8,スノースコール,牡2,56.0,斎藤,0:1:55.8,3.1/2,5,13.4,39.6,7-8-7-6,美浦 加藤征,492,-10
202504040403,7,8,10,ディープエフェクト,牡2,56.0,横山琉,0:1:56.2,2,8,42.6,40.7,1-1-1-1,美浦 相沢,492,-4
202504040403,8,3,3,ディアギレフ,牡2,55.0,☆西塚,0:1:57.2,6,7,34.5,41.1,6-5-6-6,栗東 中村,494,-4
202504040403,9,2,2,ビップルーク,牡2,53.0,▲石田,0:1:57.7,3,10,287.4,40.8,10-10-10-10,美浦 嘉藤,480,+4
202504040403,10,1,1,ユイノディスタンス,牡2,53.0,▲舟山,0:1:58.7,6,9,259.2,42.3,8-5-8-9,美浦 深山,460,0
