,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040407,1,8,14,ディヴァインスター,牡3,56.0,丹内,0:2:01.5,,1,4.5,34.5,3-3,美浦 林,484,+4
202504040407,2,6,11,レベルスルール,牡3,55.0,☆松本,0:2:01.6,1,3,5.7,34.4,6-5,栗東 池江,504,0
202504040407,3,2,2,ダノンジャイアン,牡3,56.0,斎藤,0:2:01.7,クビ,7,13.6,34.6,3-3,栗東 茶木,446,-4
202504040407,4,1,1,ヤエギリ,牝3,54.0,小沢,0:2:01.7,クビ,4,6.2,34.9,1-1,栗東 福永,476,+8
202504040407,5,4,6,スワローサプライズ,牝3,51.0,▲和田陽,0:2:01.9,1,9,22.7,35.0,2-2,栗東 杉山晴,462,+8
202504040407,6,7,12,メイショウキンタイ,牡3,53.0,▲石神道,0:2:01.9,アタマ,5,7.1,34.1,12-13,栗東 高橋亮,478,+4
202504040407,7,3,4,コスモレオナルド,牡4,58.0,杉原,0:2:02.0,3/4,6,12.8,34.8,5-5,美浦 鹿戸,472,+6
202504040407,8,6,10,ウールデュボヌール,牡4,55.0,▲大久保,0:2:02.1,3/4,11,36.9,34.7,8-7,栗東 須貝,490,-8
202504040407,9,4,7,ホウオウレイヴン,セ3,56.0,鮫島駿,0:2:02.1,ハナ,2,5.2,34.5,10-10,栗東 矢作,452,-4
202504040407,10,3,5,コスモアチーブ,牡3,56.0,野中,0:2:02.1,アタマ,8,16.6,34.7,8-7,美浦 相沢,478,+8
202504040407,11,8,15,イサムダイヤモンド,牡3,56.0,横山琉,0:2:02.3,1,10,26.5,34.3,15-15,美浦 高橋文,464,-2
202504040407,12,5,9,コイヌール,牡4,55.0,▲舟山,0:2:02.5,1,15,122.6,34.8,10-10,美浦 柄崎,492,+4
202504040407,13,7,13,トーマステソーロ,牡4,58.0,古川吉,0:2:03.0,3.1/2,13,88.5,35.1,12-14,栗東 昆,460,-8
202504040407,14,2,3,メイショウアゴナス,牡3,56.0,中井,0:2:03.7,4,14,108.7,36.3,6-7,栗東 本田,472,-4
202504040407,15,5,8,アスクメークシェア,牡5,55.0,▲古川奈,0:2:04.8,7,12,48.4,37.1,12-10,栗東 前川,496,0
