,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202504040306,1,7,13,コンフォルツァ,牡3,54.0,◇永島,0:1:46.6,,4,8.1,33.6,7-4,栗東 松永幹,498,+4
202504040306,2,7,12,トゥルーサクセサー,牡4,55.0,▲石田,0:1:46.7,1/2,3,6.4,33.5,9-8,美浦 高木,466,-6
202504040306,3,6,11,スピアッジャローザ,牝3,54.0,横山琉,0:1:46.8,クビ,5,9.2,33.2,15-15,美浦 蛯名利,454,0
202504040306,4,6,10,シャインバオバブ,牡3,55.0,☆松本,0:1:46.9,1,9,17.4,33.5,13-13,栗東 本田,492,-6
202504040306,5,8,14,マーシーラン,牝4,52.0,★河原田,0:1:47.0,1/2,1,3.9,33.9,5-4,栗東 渡辺,474,+8
202504040306,6,4,7,ピティロディア,牡3,53.0,▲上里,0:1:47.2,1,13,81.8,33.9,9-8,美浦 西田,448,-2
202504040306,7,1,1,レインオンミー,牡3,53.0,▲大久保,0:1:47.4,1.1/4,11,59.3,34.3,4-4,栗東 福永,482,0
202504040306,8,8,15,アンドローゼス,牝4,53.0,▲舟山,0:1:47.6,1,2,4.2,34.4,9-8,美浦 加藤士,464,+4
202504040306,9,5,8,セザンワールド,セ5,58.0,小林脩,0:1:47.8,1.1/4,14,99.6,34.3,13-13,美浦 蛯名利,494,+6
202504040306,10,4,6,ウィズマスタング,牡3,56.0,斎藤,0:1:47.8,ハナ,8,15.9,34.6,5-4,栗東 西園翔,444,+2
202504040306,11,2,3,チャイボーグ,牝5,53.0,▲橋木,0:1:47.9,3/4,15,104.7,34.6,9-8,美浦 的場,494,0
202504040306,12,2,2,トリオンファルマン,牝5,55.0,☆西塚,0:1:47.9,ハナ,10,25.3,34.6,7-8,栗東 笹田,458,+6
202504040306,13,5,9,スプリンクルソルト,牡4,58.0,小沢,0:1:48.0,クビ,12,67.6,35.1,2-2,美浦 栗田,470,+4
202504040306,14,3,4,デビューフライト,牝3,52.0,◇今村,0:1:48.1,3/4,7,14.6,35.3,1-1,美浦 小島,424,-6
202504040306,15,3,5,ベランジェール,牝4,53.0,▲森田,0:1:48.6,3,6,12.4,35.6,2-2,栗東 武幸,482,-2
