,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202508030812,1,8,9,マイネルフルムーン,牡3,56.0,団野,0:1:47.6,,4,5.8,33.9,7-5,栗東 吉田,468,+6
202508030812,2,8,10,アレンテージョ,牡5,58.0,藤岡佑,0:1:47.7,3/4,2,5.3,33.8,9-8,栗東 坂口,478,0
202508030812,3,1,1,ニュークレド,牡3,56.0,高杉,0:1:47.7,アタマ,1,3.0,34.1,4-5,栗東 石坂,432,+2
202508030812,4,5,5,イガッチ,牡3,56.0,浜中,0:1:47.7,アタマ,6,10.2,34.3,2-2,栗東 笹田,470,-2
202508030812,5,3,3,デルシエロ,牡4,57.0,☆吉村,0:1:47.9,1.1/4,8,14.2,34.1,8-8,栗東 清水久,420,+2
202508030812,6,7,7,サラコスティ,牡3,56.0,北村友,0:1:48.0,1/2,7,14.1,34.5,4-4,栗東 池添,476,+4
202508030812,7,4,4,エンベッカ,牝3,54.0,西村淳,0:1:48.1,1/2,3,5.8,34.5,4-5,栗東 斉藤崇,420,-6
202508030812,8,7,8,エボルヴィング,牡4,58.0,松山,0:1:48.1,クビ,5,9.5,34.6,3-2,栗東 藤原,462,+12
202508030812,9,6,6,ランフォースマイル,牝3,54.0,坂井,0:1:48.6,3,9,20.9,35.3,1-1,栗東 渡辺,448,0
202508030812,10,2,2,スティルザワン,セ4,58.0,荻野琢,0:1:49.5,5,10,236.1,35.6,9-10,栗東 前川,452,-2
