,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202508030805,1,3,4,アーリーハーベスト,牝2,55.0,北村友,0:1:34.8,,4,6.8,34.8,1-1,栗東 小林,460,0
202508030805,2,2,2,トミーバローズ,牡2,56.0,松若,0:1:35.0,1.1/2,2,3.5,34.8,3-3,栗東 清水久,474,0
202508030805,3,4,5,エイズルブルーム,牝2,55.0,団野,0:1:35.7,4,10,29.6,34.8,11-9,栗東 坂口,450,0
202508030805,4,1,1,ビケイムフリー,牝2,54.0,☆吉村,0:1:35.9,1,12,114.5,35.5,7-6,栗東 吉村,406,0
202508030805,5,5,8,ヒルノジェノヴァ,牝2,55.0,菱田,0:1:35.9,ハナ,14,228.7,35.9,2-2,栗東 藤野,432,0
202508030805,6,6,10,サイモンシャリオ,牡2,56.0,松山,0:1:36.0,1,8,26.8,34.9,12-11,栗東 梅田,494,0
202508030805,7,8,13,メランコリニスタ,牝2,55.0,岩田康,0:1:36.3,1.3/4,5,20.7,36.1,3-3,栗東 吉村,456,0
202508030805,8,3,3,アスクウルトラモア,牡2,56.0,西村淳,0:1:36.4,クビ,6,21.7,35.9,7-6,栗東 矢作,408,0
202508030805,9,4,6,ペガサスジルシ,牝2,55.0,坂井,0:1:36.7,2,1,2.6,36.4,3-3,栗東 新谷,432,0
202508030805,10,5,7,メドウセージ,牝2,55.0,高杉,0:1:37.4,4,9,29.1,36.6,9-9,栗東 藤岡,488,0
202508030805,11,7,12,メイショウランケイ,牡2,56.0,浜中,0:1:37.9,3.1/2,11,57.9,36.7,12-11,栗東 武幸,492,0
202508030805,12,8,14,ファフロツキーズ,牡2,56.0,岩田望,0:1:38.0,3/4,3,5.5,37.6,6-6,栗東 野中,474,0
202508030805,13,7,11,シャマレル,牡2,56.0,田口,0:1:38.4,2.1/2,7,25.1,37.5,9-11,栗東 渡辺,446,0
202508030805,14,6,9,ピレシー,牝2,55.0,小崎,0:1:40.1,10,13,225.8,38.0,14-14,栗東 宮地,480,0
