,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202508030911,1,5,9,エネルジコ,牡3,57.0,ルメー,0:3:04.0,,1,3.8,35.0,15-14-8-4,美浦 高柳瑞,456,-12
202508030911,2,7,15,エリキング,牡3,57.0,川田,0:3:04.3,2,2,4.3,35.2,17-17-12-8,栗東 中内田,508,-2
202508030911,3,7,14,エキサイトバイオ,牡3,57.0,荻野極,0:3:04.4,3/4,13,82.6,35.7,4-5-2-1,栗東 今野,480,+8
202508030911,4,6,12,ゲルチュタール,牡3,57.0,坂井,0:3:04.4,ハナ,5,9.2,35.2,9-9-12-8,栗東 杉山晴,524,+8
202508030911,5,8,18,レッドバンデ,牡3,57.0,佐々木,0:3:04.5,クビ,9,17.4,35.5,7-6-6-4,美浦 大竹,482,-4
202508030911,6,3,6,ミラージュナイト,牡3,57.0,藤岡佑,0:3:04.5,クビ,8,15.2,35.1,18-18-17-14,栗東 辻野,492,+6
202508030911,7,1,1,コーチェラバレー,牡3,57.0,西村淳,0:3:04.6,3/4,15,107.0,35.3,15-16-12-14,栗東 安田,438,-4
202508030911,8,3,5,ジョバンニ,牡3,57.0,松山,0:3:04.7,クビ,6,11.9,35.2,9-9-12-16,栗東 杉山晴,478,+2
202508030911,9,4,8,レクスノヴァス,牡3,57.0,横山和,0:3:04.8,クビ,10,20.4,36.0,2-3-3-2,栗東 上村,484,-6
202508030911,10,7,13,アロンディ,牡3,57.0,団野,0:3:05.1,2,17,214.4,35.9,11-12-8-8,栗東 武英,452,0
202508030911,11,1,2,アマキヒ,牡3,57.0,戸崎圭,0:3:05.4,2,12,45.9,35.7,11-12-17-18,美浦 国枝,492,0
202508030911,12,2,3,ライトトラック,牡3,57.0,和田竜,0:3:05.5,3/4,11,41.9,36.3,6-6-8-8,栗東 友道,474,-4
202508030911,13,6,11,マイユニバース,牡3,57.0,武豊,0:3:05.5,クビ,4,9.1,36.7,11-11-3-3,栗東 武幸,464,-2
202508030911,14,4,7,ショウヘイ,牡3,57.0,岩田望,0:3:05.6,クビ,3,7.9,36.7,4-4-3-4,栗東 友道,472,+8
202508030911,15,8,17,レイヤードレッド,牡3,57.0,嶋田,0:3:06.3,4,18,265.1,36.9,11-14-16-16,美浦 手塚久,484,+8
202508030911,16,2,4,ヤマニンブークリエ,牡3,57.0,横山典,0:3:06.4,1/2,7,14.1,37.3,2-2-6-8,栗東 松永幹,516,0
202508030911,17,8,16,ラーシャローム,牡3,57.0,岩田康,0:3:08.3,大,16,179.1,39.2,7-6-8-13,美浦 奥村武,470,-8
202508030911,18,5,10,ジーティーアダマン,牡3,57.0,北村友,0:3:10.8,大,14,85.2,42.0,1-1-1-4,栗東 上村,492,0
