,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202508030810,1,4,5,スリールミニョン,牝3,54.0,坂井,0:1:20.2,,4,5.5,34.1,1-1,栗東 高橋康,458,+16
202508030810,2,8,13,スマートワイス,牡4,58.0,松山,0:1:20.3,クビ,2,4.2,33.9,4-4,栗東 大久保,490,-14
202508030810,3,3,3,キタサンダムール,牝5,56.0,岩田望,0:1:20.3,クビ,5,9.4,33.8,4-4,栗東 清水久,500,+18
202508030810,4,4,4,ケーブパール,牝4,56.0,小崎,0:1:20.3,ハナ,3,4.8,33.0,10-10,栗東 友道,430,-2
202508030810,5,2,2,ヤマニンアストロン,牡4,58.0,高杉,0:1:20.3,クビ,7,14.5,33.5,6-6,栗東 石橋,494,+4
202508030810,6,6,9,レディマリオン,牝4,56.0,吉村,0:1:20.4,1/2,1,3.7,34.2,2-2,栗東 長谷川,450,-2
202508030810,7,1,1,サクセスアイ,牝5,56.0,池添,0:1:20.5,1/2,6,10.8,34.2,2-2,栗東 北出,450,+6
202508030810,8,8,12,ルミノメテオール,牝5,56.0,岩田康,0:1:20.7,1.1/2,11,64.8,33.9,6-6,美浦 金成,456,-2
202508030810,9,6,8,ジョディーズマロン,牡7,58.0,菱田,0:1:20.9,1.1/4,10,59.9,33.0,13-13,栗東 北出,470,0
202508030810,10,7,10,アバンチュリエ,セ6,58.0,柴田善,0:1:21.1,3/4,13,158.5,34.0,8-8,美浦 大竹,476,-10
202508030810,11,5,7,ウインスノーライト,牡5,58.0,長岡,0:1:21.2,1,9,49.8,33.7,11-11,栗東 宮,496,+6
202508030810,12,5,6,シークレットキー,牡4,58.0,田口,0:1:21.3,3/4,12,101.3,33.6,12-12,栗東 井上,498,+6
202508030810,13,7,11,フライングブレード,牡5,58.0,浜中,0:1:21.6,1.1/2,8,47.6,34.5,8-8,栗東 飯田,486,+4
