,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202508030806,1,3,6,フレグレイ,牝2,55.0,北村友,0:1:25.6,,2,3.1,37.9,5-3,栗東 角田,492,0
202508030806,2,6,12,ピカラ,牝2,54.0,☆吉村,0:1:25.8,1.1/4,16,114.3,37.9,6-3,栗東 坂口,452,0
202508030806,3,7,13,テーオーナタリー,牝2,55.0,西村淳,0:1:26.0,3/4,4,10.5,38.4,2-2,栗東 梅田,436,0
202508030806,4,2,4,アイカンアズーラ,牝2,55.0,酒井,0:1:26.3,1.3/4,7,22.4,38.4,8-7,栗東 河嶋,448,0
202508030806,5,1,2,コズミックフレア,牝2,55.0,岩田康,0:1:26.3,クビ,13,76.3,37.5,14-12,栗東 吉田,464,0
202508030806,6,5,10,コイバナ,牝2,55.0,小崎,0:1:26.4,アタマ,15,97.3,38.3,9-9,栗東 渡辺,458,0
202508030806,7,3,5,カネコメブライト,牝2,55.0,松若,0:1:26.6,1.1/2,10,38.0,38.1,12-12,栗東 中尾,480,0
202508030806,8,7,14,オリヒメボシ,牝2,55.0,田口,0:1:26.8,1.1/4,9,35.2,38.5,10-9,栗東 庄野,426,0
202508030806,9,2,3,ミスヘンリー,牝2,55.0,長岡,0:1:26.9,クビ,8,32.3,39.1,6-7,栗東 羽月,436,0
202508030806,10,5,9,アクシュラ,牝2,55.0,松山,0:1:26.9,クビ,5,13.4,38.0,14-15,栗東 橋口,452,0
202508030806,11,4,8,スノーガーネット,牝2,55.0,角田和,0:1:27.4,3,11,43.5,40.0,1-1,栗東 中尾,478,0
202508030806,12,8,15,テンタイムトップ,牝2,55.0,坂井,0:1:27.7,1.1/2,1,3.1,39.4,11-9,栗東 高柳大,452,0
202508030806,13,8,16,タイセイパフューム,牝2,55.0,高杉,0:1:28.7,6,6,19.3,40.1,12-14,栗東 牧浦,474,0
202508030806,14,1,1,ウインジャスミン,牝2,55.0,吉田隼,0:1:29.1,2,14,84.3,39.4,16-16,栗東 緒方,428,0
202508030806,15,4,7,ディーズベンチャー,牝2,55.0,菱田,0:1:29.2,1/2,12,58.2,41.5,2-3,栗東 岡田,422,0
202508030806,16,6,11,メイショウピュルテ,牝2,55.0,岩田望,0:1:29.6,2.1/2,3,5.5,42.0,2-3,栗東 笹田,440,0
