,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202508030809,1,7,13,タガノマカシヤ,牡3,56.0,岩田望,0:1:58.0,,1,1.9,37.3,5-4-5-3,栗東 中村,506,0
202508030809,2,4,8,ジョータルマエ,セ5,58.0,鮫島良,0:1:58.2,1.1/4,4,10.3,38.2,1-1-1-1,栗東 河嶋,498,0
202508030809,3,5,10,ソウルアンドジャズ,セ4,58.0,松山,0:1:58.8,4,2,4.5,38.6,2-2-2-2,美浦 武井,494,0
202508030809,4,6,12,ノボリクレバー,牝5,56.0,坂井,0:1:59.2,2,5,11.7,38.7,3-3-3-3,栗東 石橋,506,+2
202508030809,5,1,2,レッドリベルタ,牡4,58.0,西村淳,0:1:59.2,ハナ,3,7.5,38.0,8-8-8-8,栗東 庄野,458,0
202508030809,6,4,7,メイケイロゼッタ,牡3,56.0,酒井,0:1:59.2,ハナ,7,33.4,38.3,5-6-7-6,栗東 河嶋,464,0
202508030809,7,3,6,リアド,牡6,58.0,岩田康,0:1:59.3,1/2,8,39.6,38.9,4-4-3-3,栗東 小椋,480,-8
202508030809,8,3,5,シャンバラ,牡6,58.0,田口,0:1:59.4,クビ,9,46.1,38.0,10-10-11-10,栗東 橋口,526,+4
202508030809,9,7,14,タイセイアディクト,牡4,58.0,団野,0:1:59.4,アタマ,6,25.7,38.1,11-11-10-10,美浦 池上,490,-2
202508030809,10,8,15,シュプリンガー,セ6,58.0,長岡,0:1:59.5,3/4,11,47.6,37.5,13-13-13-13,栗東 小栗,492,-10
202508030809,11,5,9,ハッピーアズラリー,牝5,56.0,松若,0:1:59.7,1,15,134.4,38.1,11-11-11-10,栗東 安田,466,+8
202508030809,12,2,4,キャリーハピネス,牡5,58.0,高杉,0:2:00.6,5,12,66.4,38.1,15-15-15-16,栗東 河嶋,502,-4
202508030809,13,8,16,メイショウシロガネ,牡7,58.0,角田和,0:2:00.8,3/4,16,241.7,38.4,16-16-15-14,栗東 笹田,462,+4
202508030809,14,1,1,バナマンテソーロ,牡4,58.0,吉村,0:2:00.8,クビ,13,80.0,40.2,7-6-5-6,美浦 加藤士,496,-4
202508030809,15,2,3,セレクティオ,牡5,58.0,菱田,0:2:01.3,3,10,46.2,39.0,14-14-14-15,栗東 橋口,486,+6
202508030809,16,6,11,メイショウジェンマ,牡5,58.0,池添,0:2:01.4,1/2,14,86.0,40.2,9-9-8-8,栗東 飯田,476,+8
