,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202508030905,1,6,6,テルヒコウ,牡2,56.0,坂井,0:1:50.5,,3,7.0,33.7,1-1,栗東 矢作,486,0
202508030905,2,1,1,エムズビギン,牡2,56.0,ルメー,0:1:50.9,2.1/2,1,1.4,33.6,5-5,栗東 友道,504,0
202508030905,3,4,4,シートゥサミット,牡2,56.0,小崎,0:1:51.5,3.1/2,6,30.7,33.7,8-8,栗東 吉岡,518,0
202508030905,4,5,5,ジュンドラドラ,牡2,56.0,岩田望,0:1:51.5,アタマ,4,8.3,34.2,5-5,栗東 清水久,546,0
202508030905,5,2,2,スウィーティーベル,牝2,55.0,北村友,0:1:51.7,1.1/4,5,23.0,34.1,8-7,栗東 田中克,408,0
202508030905,6,7,7,ジェンティール,牡2,56.0,佐々木,0:1:51.8,1/2,7,33.8,34.8,2-2,栗東 須貝,494,0
202508030905,7,7,8,グラシアムヘール,牝2,55.0,松山,0:1:52.0,1.1/4,2,6.4,34.9,3-3,栗東 藤原,496,0
202508030905,8,3,3,キョウエイクローム,牝2,55.0,高倉,0:1:53.0,6,10,179.2,35.8,4-3,栗東 森田,434,0
202508030905,9,8,10,アマビエ,牝2,55.0,嶋田,0:1:53.8,5,9,169.1,36.1,8-8,美浦 南田,406,0
202508030905,10,8,9,ヨシノサンキュー,牡2,56.0,角田和,0:1:57.6,大,8,111.3,39.8,5-10,栗東 中竹,490,0
