,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
100,芝,1600,全,オープン,34.56,5.95,5.95,5.5,
101,芝,1600,良,オープン,34.56,5.95,5.95,5.5,
102,芝,1600,稍重,オープン,,,,,
103,芝,1600,重,オープン,,,,,
104,芝,1600,不良,オープン,,,,,
105,芝,2000,全,all,34.93,8.04,7.86,7.36,7.01
106,芝,2000,良,all,34.71,8.52,8.21,7.88,7.66
107,芝,2000,稍重,all,35.5,5.61,5.61,3.54,3.4
108,芝,2000,重,all,35.19,6.46,6.57,6.18,5.99
109,芝,2000,不良,all,37.9,15.0,16.0,15.0,8.0
110,芝,2000,全,未勝利,35.65,7.86,7.78,6.87,6.15
111,芝,2000,良,未勝利,35.23,7.41,7.04,7.05,6.59
112,芝,2000,稍重,未勝利,36.1,9.5,9.5,5.36,5.07
113,芝,2000,重,未勝利,35.8,6.28,6.53,5.2,5.23
114,芝,2000,不良,未勝利,37.9,15.0,16.0,15.0,8.0
115,芝,2000,全,新馬,34.67,8.96,8.89,8.87,8.83
116,芝,2000,良,新馬,34.74,9.99,9.9,9.87,9.81
117,芝,2000,稍重,新馬,34.6,2.25,2.25,2.25,2.25
118,芝,2000,重,新馬,34.4,10.5,10.5,10.5,10.5
119,芝,2000,不良,新馬,,,,,
120,芝,2000,全,1勝クラス,34.72,7.51,7.41,6.7,6.2
121,芝,2000,良,1勝クラス,34.6,8.87,8.75,7.65,7.18
122,芝,2000,稍重,1勝クラス,35.2,1.2,1.2,1.2,1.2
123,芝,2000,重,1勝クラス,35.05,3.82,3.82,4.72,3.82
124,芝,2000,不良,1勝クラス,,,,,
125,芝,2000,全,2勝クラス,34.98,7.28,7.28,7.82,7.28
126,芝,2000,良,2勝クラス,34.96,6.48,6.48,7.14,6.48
127,芝,2000,稍重,2勝クラス,,,,,
128,芝,2000,重,2勝クラス,35.1,11.25,11.25,11.25,11.25
129,芝,2000,不良,2勝クラス,,,,,
130,芝,2000,全,3勝クラス,33.65,8.75,6.99,6.04,7.68
131,芝,2000,良,3勝クラス,33.65,8.75,6.99,6.04,7.68
132,芝,2000,稍重,3勝クラス,,,,,
133,芝,2000,重,3勝クラス,,,,,
134,芝,2000,不良,3勝クラス,,,,,
135,芝,2000,全,オープン,33.98,9.31,8.86,8.46,8.77
136,芝,2000,良,オープン,34.0,10.73,10.17,9.68,10.06
137,芝,2000,稍重,オープン,,,,,
138,芝,2000,重,オープン,33.9,3.6,3.6,3.6,3.6
139,芝,2000,不良,オープン,,,,,
140,芝,2200,全,all,35.22,7.37,7.23,6.4,6.17
141,芝,2200,良,all,34.9,8.14,7.85,7.0,6.8
