,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,レオプレセア,牝2,55.0,嶋田純次,杉浦,美浦,2022102932,01134,サンダースノー Thunder Snow(愛) ,レオフラッパー ,ステイゴールド ,-4.431723801023107,17
1,1,2,ベルジュロネット,牡2,56.0,鮫島駿,大久保,栗東,2022106658,01157,ロードカナロア ,ベルカント ,サクラバクシンオー ,-0.10394080651844247,3
2,2,3,スティルシャイニン,牡2,56.0,横山武,天間,美浦,2022103884,01170,メイショウボーラー ,コウユーヒカリママ ,ロックオブジブラルタル ,-4.288426889276794,16
3,2,4,ブラヴォケラトプス,牡2,56.0,松山,辻,美浦,2022105271,01126,リアルインパクト ,オリオンムーン Orion Moon(仏) ,Manduro (独) ,0.5783460339570162,1
4,3,5,ヤスエ,牝2,55.0,木幡初,深山,美浦,2022101410,01153,アジアエクスプレス ,サトノレーヌ ,キングカメハメハ ,-4.164619372289071,14
5,3,6,ラブリーガール,牝2,55.0,吉田豊,勢司,美浦,2022102696,00733,サートゥルナーリア ,カラレイア ,エンパイアメーカー Empire Maker(米) ,-1.7629234621104655,7
6,4,7,ハーモニーソング,牝2,55.0,武藤,田島,美浦,2022104440,01169,デクラレーションオブウォー ,リルティングソング ,スペシャルウィーク ,0.03592762216658572,2
7,4,8,レトロブーム,牝2,55.0,江田照,西田,美浦,2022100512,00689,エスポワールシチー ,トピアリスト ,サウスヴィグラス ,-3.9046275133212904,12
8,5,9,コオリナラグーン,牝2,55.0,ルメール,古賀,美浦,2022104945,05339,ミッキーアイル ,ハウメア ,キングカメハメハ ,-0.41346934412836467,4
9,5,10,エバーグリーン,牡2,55.0,☆原,青木,美浦,2022100709,01184,ガルボ ,ファストライフ ,スーパーホーネット ,-2.9073944819278887,10
10,6,11,フラッシュタイム,牡2,56.0,菅原隆,佐藤吉,美浦,2022102662,01129,エイシンフラッシュ ,ダンツスウィフト ,ダイワメジャー ,-4.066592371841058,13
11,6,12,ゴールデン,牝2,55.0,岩部,石毛,美浦,2022101861,00726,ゴールドシップ ,ツヅク ,マツリダゴッホ ,-4.236528661458852,15
12,7,13,ルトンワージ,牡2,56.0,団野,斎藤誠,美浦,2022104560,01180,レイデオロ ,ダイワドレッサー ,ネオユニヴァース ,-1.2140649669679553,6
13,7,14,コルチェスター,牡2,56.0,戸崎圭,尾関,美浦,2022104757,05386,ビッグアーサー ,グランデセーヌ ,ゼンノロブロイ ,-0.6742982349780361,5
14,8,15,ファリア,牡2,56.0,木幡巧,土田,美浦,2022106894,01162,メイショウボーラー ,ポルカマズルカ ,ティンバーカントリー Timber Country(米) ,-2.9165778109323965,11
15,8,16,リリアンファスト,牝2,55.0,横山和,嘉藤,美浦,2022105989,01140,サトノクラウン ,リリアンフェルス ,ダイワメジャー ,-2.5663258435643486,8
16,8,17,アリスノヒトミ,牝2,55.0,丸田,石毛,美浦,2022100258,01117,ゴールドドリーム ,メイショウアリス ,マンハッタンカフェ ,-2.8580112712803807,9
