,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ダスク,牡4,55.0,武藤,戸田,美浦,2020106953,01169,シニスターミニスター Sinister Minister(米) ,フォルクスオーパー ,テイエムオペラオー ,-0.176365905149999,3
1,2,2,ベルウッドグラス,牡4,56.0,木幡巧,牧,美浦,2020104945,01162,パイロ Pyro(米) ,エナジャイズ ,キングカメハメハ ,-3.1896624709617525,10
2,2,3,フジマサインパクト,牡6,54.0,鮫島駿,菊川,美浦,2018104778,01157,ディープインパクト ,ベイトゥベイ Bay to Bay(米) ,Sligo Bay ,-5.107886760173282,15
3,3,4,ビップスコーピオン,牡4,56.0,戸崎圭,田島,美浦,2020103199,05386,サトノクラウン ,アソルータ ,ゼンノロブロイ ,-3.7940914720718957,11
4,3,5,ローズボウル,牡6,55.0,石橋脩,林,美浦,2018104574,01077,キズナ ,オールドパサデナ ,エンパイアメーカー Empire Maker(米) ,-5.01279187616735,14
5,4,6,オメガタキシード,セ4,57.0,ルメール,松永幹,栗東,2020102988,05339,ハービンジャー Harbinger(英) ,パーティードレス ,デュランダル ,-0.7605643539588205,5
6,4,7,ダノンブレット,牡6,57.0,横山典,菊沢,美浦,2018104665,00660,キングカメハメハ ,ダイワズーム ,ハーツクライ ,1.332308008786034,1
7,5,8,キタサンドーシン,牡5,55.0,北村宏,奥村武,美浦,2019100997,01043,キタサンブラック ,スルターナ ,キングヘイロー ,-1.4033611458075803,6
8,5,9,アースライザー,セ7,53.0,内田博,鈴木慎,美浦,2017103285,00422,アイルハヴアナザー I'll Have Another(米) ,ジェルヴェーズ ,メイショウサムソン ,-4.836885923481398,13
9,6,10,ホウオウフウジン,牡5,55.0,石川,稲垣,美浦,2019105032,01150,ロードカナロア ,アゲヒバリ ,クロフネ ,-2.3876490756151343,8
10,6,11,ペイシャモノノフ,牡4,55.0,池添,畑端,栗東,2020101020,01032,ニシケンモノノフ ,ペイシャオブワキア ,フリオーソ ,-2.4449043337287115,9
11,7,12,マテンロウガイ,牡4,56.0,角田和,角田,栗東,2020101036,01186,リアルスティール ,エアベルヘザー ,エンパイアメーカー Empire Maker(米) ,0.3726835888453449,2
12,7,13,デルマオニキス,牡7,54.0,原,勢司,美浦,2017100811,01184,オンファイア ,デルマトモエゴゼン ,キングカメハメハ ,-3.867047385471301,12
13,8,14,セブンスレター,セ5,53.0,吉田豊,高橋文,美浦,2019100876,00733,コパノリッキー ,ブライアンズレター ,ナリタブライアン ,-2.0331561405035083,7
14,8,15,ネッケツシャチョウ,牡4,56.0,荻野琢,藤沢,栗東,2020105954,01112,リオンディーズ ,レッドティムール ,シンボリクリスエス ,-0.6499656508631647,4
