,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,メイショウミシガン,牡3,56.0,団野大成,鮫島,栗東,2021105328,01180,サトノアラジン ,シレーナ ,アドマイヤムーン ,-1.0465885029032052,9
1,1,2,トウカイファクター,セ5,58.0,吉田豊,菊川,美浦,2019103692,00733,ザファクター ,トウカイポプリ ,タイキシャトル ,-2.611093346936908,16
2,2,3,シャープソーン,牝4,53.0,▲橋木,西園正,栗東,2020101853,01215,ファインニードル ,ローズストリート ,ストリートセンス Street Sense(米) ,-1.660798496387105,12
3,2,4,クラウンブラヴォー,牡4,58.0,木幡巧,牧,美浦,2020101422,01162,ノボジャック ,クラウンミストラル ,フジキセキ ,-1.7701108952881657,13
4,3,5,ルクスドヌーヴ,牝4,56.0,田辺,堀内,美浦,2020101284,01075,ハーツクライ ,スマートアストリア ,ストラヴィンスキー ,-1.8173055441324968,14
5,3,6,サフランヒーロー,牡3,56.0,松山,森一,美浦,2021100895,01126,カレンブラックヒル ,サフランブーケ ,スターリングローズ ,-0.8069633583410883,6
6,4,7,ロイヤルダンス,牡6,57.0,☆原,清水英,美浦,2018102394,01184,ガルボ ,ブセナ ,マイネルセレクト ,0.4253535708706086,2
7,4,8,メラーキ,牡7,58.0,松岡,稲垣,美浦,2017105634,01085,ハーツクライ ,レツィーナ ,キャプテンスティーヴ Captain Steve(米) ,-0.8802950744756449,8
8,5,9,ミラキュラスライト,牡5,58.0,石川,萩原,美浦,2019104602,01150,エイシンフラッシュ ,ミラグロッサ ,フジキセキ ,-0.6236010019222203,3
9,5,10,パンデアスカル,牡4,58.0,鮫島駿,高野,栗東,2020103369,01157,モーリス ,コルコバード ,ステイゴールド ,-1.2538400133023209,10
10,6,11,ホウオウパレード,牡5,58.0,石橋脩,池上,美浦,2019104465,01077,ドゥラメンテ ,スパニッシュクイーン Spanish Queen(米) ,Tribal Rule ,1.3159376488008907,1
11,6,12,ライブリームーラン,牝4,56.0,北村宏,大竹,美浦,2020106407,01043,リアルスティール ,プレザンサプライズ ,Shamardal (米) ,-1.317067126559026,11
12,7,13,レディアス,牝4,56.0,丸田,鈴木慎,美浦,2020102562,01117,ジャスタウェイ ,スキャットレディビーダンシング Scatladybdancing(米) ,Scat Daddy (米) ,-0.8106538267474985,7
13,7,14,マイネルサハラ,牡5,58.0,野中,和田雄,美浦,2019103543,01158,シンボリクリスエス ,マイネフェリックス ,アグネスデジタル ,-0.6347080641763028,4
14,8,15,ピエフォール,牡4,58.0,江田照,蛯名正,美浦,2020103253,00689,リアルスティール ,ウォッチハー Watch Her(亜) ,Mutakddim ,-1.8882687279228336,15
15,8,16,ストレングス,牡3,56.0,ルメール,寺島,栗東,2021106658,05339,シニスターミニスター Sinister Minister(米) ,ローレライ ,ゴールドアリュール ,-0.7839728126776391,5
