,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,キャピタルプレイン,牝2,55.0,横山武,千葉,美浦,2022106676,01170,ノーブルミッション Noble Mission(英) ,ポポチャン ,トウカイテイオー ,-0.6517820521909002,2
1,2,2,ズットマツモト,牝2,55.0,木幡初,竹内,美浦,2022106587,01153,ミッキーアイル ,デライトポイント ,トウカイテイオー ,0.04519457300128549,1
2,3,3,サザンブラック,牡2,56.0,柴田善,根本,美浦,2022101347,00641,ブラックタイド ,ローズゴールド ,サウスヴィグラス ,-3.1120820050366196,9
3,4,4,ポッドロルフ,牡2,56.0,吉田豊,小野,美浦,2022100700,00733,モズアスコット ,グリエルマ ,ロードカナロア ,-3.2350058432632873,10
4,5,5,カシノフロレゾン,牡2,56.0,柴田大,和田雄,美浦,2022103490,01009,ロジャーバローズ ,イッツマイン ,Medicean ,-1.9139180767226562,7
5,6,6,レオンバルディア,牝2,55.0,野中,武井,美浦,2022101439,01158,カラヴァッジオ ,ハンティングシーズン Hunting Season(米) ,Pioneerof the Nile ,-1.3699704298280106,4
6,6,7,フクシマコウヨウ,牝2,55.0,横山和,小島,美浦,2022104870,01140,アドマイヤマーズ ,セットプレイ Set Play(米) ,Van Nistelrooy ,-1.2777937873207736,3
7,7,8,アミグダラ,牝2,55.0,嶋田,岩戸,美浦,2022107225,01134,アドマイヤムーン ,スガノグラスワン ,グラスワンダー ,-1.3814637640415712,5
8,7,9,エメラルドラグーン,牡2,56.0,岩部,伊藤伸,美浦,2022106423,00726,ブラックタイド ,ラウブレック Rau Breck(米) ,Mr. Greeley ,-4.160872841642345,11
9,8,10,テリオスラキ,牡2,56.0,木幡巧,田島,美浦,2022101018,01162,ハービンジャー Harbinger(英) ,モモイロアゲハ ,ダンスインザダーク ,-2.882862227889949,8
10,8,11,ロジステート,牝2,55.0,石川,尾形,美浦,2022103450,01150,シルバーステート ,ロジシエロ ,ロジユニヴァース ,-1.7538955579489945,6
