,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ビレッジルミエール,牝2,55.0,石橋脩,伊藤圭,美浦,2022101760,01077,キタサンブラック ,ヤマノグラス ,バブルガムフェロー ,-1.9919050778187537,12
1,2,2,ビーラブドウィッチ,牝2,55.0,宮崎,中川,美浦,2022104017,01118,マジェスティックウォリアー Majestic Warrior(米) ,ビーウィッチド ,ハービンジャー Harbinger(英) ,-2.2433191338155147,13
2,2,3,レイオーバー,牡2,56.0,内田博,本間,美浦,2022103311,00422,ホッコータルマエ ,エンゲージリング ,スウェプトオーヴァーボード Swept Overboard(米) ,1.0989207411232833,2
3,3,4,パーティーガール,牝2,55.0,野中,根本,美浦,2022106420,01158,ホッコータルマエ ,ハッピーパーティー ,クロフネ ,-3.6981900819491713,14
4,3,5,キタノショウリュウ,牡2,56.0,松岡,伊藤伸,美浦,2022102042,01085,トゥザワールド ,ホウヨウバルキリー ,スターリングローズ ,-1.7389078595687137,11
5,4,6,リュウノワールド,牡2,56.0,吉田豊,小西,美浦,2022106702,00733,ゴールドドリーム ,ファービヨンド ,ディープスカイ ,-1.3787288554176749,8
6,4,7,ツクバスマイリー,牝2,54.0,☆原,奥平,美浦,2022101788,01184,ゴールドドリーム ,ソルトオブジアース ,アグネスデジタル ,-3.7891859440969142,15
7,5,8,フォースミラクル,牡2,56.0,鮫島駿,加藤征,美浦,2022105242,01157,ジャスタウェイ ,ヴィクトリアマンボ ,ヴィクトワールピサ ,0.47853749437392085,3
8,5,9,ラルフテソーロ,牡2,56.0,戸崎圭,小手川,美浦,2022102269,05386,スワーヴリチャード ,ライトファンタスティック Light Fantastic(英) ,Acclamation ,-0.9777702127869207,7
9,6,10,ランヴェルセ,牡2,56.0,武藤,武藤,美浦,2022103984,01169,バゴ Bago(仏) ,カフェブリリアント ,ブライアンズタイム Brian's Time(米) ,-1.6393893393152161,9
10,6,11,エコロヴァイス,牡2,56.0,松山,堀,美浦,2022110128,01126,Unified ,Second Fiddle ,Paynter ,1.5399119421907561,1
11,7,12,テルユアワールド,牝2,55.0,横山武,斎藤誠,美浦,2022104998,01170,ルヴァンスレーヴ ,フラーテイシャスミス ,Mr. Greeley ,-0.08031782212657641,4
12,7,13,ショウナンカチドキ,牡2,56.0,柴田善,久保田,美浦,2022101258,00641,マクフィ Makfi(英) ,ショウナンカサロ ,キングカメハメハ ,-0.27561963441758014,6
13,8,14,マルセルテソーロ,牡2,56.0,木幡巧,嘉藤,美浦,2022102262,01162,フィエールマン ,バレットテソーロ ,Camelot (英) ,-1.7010295283517578,10
14,8,15,アメリカンビーチ,牡2,56.0,団野,国枝,美浦,2022103728,01180,American Pharoah (米) ,アメリカンソング ,Stripes Song ,-0.09774748770059377,5
