,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ヴェナートル,牡2,56.0,野中,武藤,美浦,2022101469,01158,アルアイン ,ロンドンシーズン ,ロードカナロア ,-3.9061246266792025,12
1,2,2,ヘヴンウィンド,牡2,56.0,池添謙一,黒岩,美浦,2022101761,01032,エピファネイア ,ヤマノフェアリー ,ディープインパクト ,2.028358609822876,1
2,3,3,リリカルガンマン,牝2,55.0,戸崎圭,手塚,美浦,2022104798,05386,フィエールマン ,サンタフェチーフ ,Wiesenpfad ,0.4722509195953878,4
3,4,4,キングノジョー,牡2,56.0,ルメール,田中博,美浦,2022104959,05339,シルバーステート ,パレスルーマー Palace Rumor(米) ,Royal Anthem ,1.6904995067519046,2
4,4,5,スピントロニクス,牡2,56.0,松山,池江,栗東,2022104658,01126,ドゥラメンテ ,ウィープノーモア Weep No More(米) ,Mineshaft (米) ,0.3960318344087085,5
5,5,6,デンジエンド,牡2,56.0,田辺,小島,美浦,2022105029,01075,サトノクラウン ,プロレタリアト ,ハーツクライ ,-3.316450248057495,9
6,5,7,タガノミモザ,牝2,55.0,団野,鮫島,栗東,2022106560,01180,ノーブルミッション Noble Mission(英) ,タガノシャーロット ,シンボリクリスエス ,-3.6671322135556825,11
7,6,8,チャールズテソーロ,牡2,56.0,柴田大,武市,美浦,2022102252,01009,フィエールマン ,イージーウィン Easy Win(愛) ,Invincible Spirit (愛) ,-4.99671804237583,13
8,6,9,トリフォラート,牝2,55.0,三浦,小手川,美浦,2022104630,01122,サトノダイヤモンド ,アンフィトリテII ,Sebring ,1.0221722774303414,3
9,7,10,リックメイン,牝2,55.0,鮫島駿,武井,美浦,2022105015,01157,リアルスティール ,プライストトゥパーフェクション Pricedtoperfection(米) ,Temple City ,-2.363471770161554,8
10,7,11,ヴァシーオ,牝2,55.0,石川,西田,美浦,2022104483,01150,ゴールドシップ ,マイネジェシカ ,ロージズインメイ Roses in May(米) ,-3.5525855886677453,10
11,8,12,ウィッシュツリー,牝2,55.0,津村,宮田,美浦,2022104979,01092,フィエールマン ,ピースエンブレム ,ウォーエンブレム War Emblem(米) ,-1.5871046840827598,6
12,8,13,レイデアスール,牡2,56.0,北村宏,栗田,美浦,2022104613,01043,レイデオロ ,アナスタシアブルー ,ファルブラヴ Falbrav(愛) ,-2.252105552503,7
