,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,バスラットレオン,牡6,57.0,吉田豊,矢作,栗東,2018106532,00733,キズナ ,バスラットアマル ,New Approach ,-2.949545074211497,17
1,1,2,メイショウシンタケ,牡6,57.0,池添,千田,栗東,2018106318,01032,ワールドエース ,アドマイヤビアン ,アドマイヤコジーン ,-0.3420460712411239,10
2,2,3,ミシシッピテソーロ,牝4,55.0,木幡巧,畠山,美浦,2020102378,01162,ダノンバラード ,ハピネスフォーユー ,A.P. Indy ,-0.9082487888150801,12
3,2,4,ゴンバデカーブース,牡3,55.0,松山,堀,美浦,2021104825,01126,ブリックスアンドモルタル Bricks and Mortar(米) ,アッフィラート ,ディープインパクト ,-1.1906158547627415,14
4,3,5,エアロロノア,セ7,57.0,田辺,笹田,栗東,2017104685,01075,キングカメハメハ ,エアワンピース ,ロックオブジブラルタル ,-0.6477819313858743,11
5,3,6,ジェイパームス,セ4,57.0,鮫島駿,堀,美浦,2020103331,01157,ジャスタウェイ ,キラーグレイシス Killer Graces(米) ,Congaree ,0.9547171464922505,5
6,4,7,セリフォス,牡5,58.0,藤岡佑,中内田,栗東,2019104462,01093,ダイワメジャー ,シーフロント Sea Front(仏) ,Le Havre ,1.91641886077554,2
7,4,8,コムストックロード,牝5,55.0,津村,宗像,美浦,2019100765,01092,シルバーステート ,ニシノムーンライト ,Diesis ,-0.18398291937724273,9
8,5,9,レッドモンレーヴ,牡5,57.0,横山和,蛯名正,美浦,2019105496,01140,ロードカナロア ,ラストグルーヴ ,ディープインパクト ,-0.08757271883816603,8
9,5,10,クルゼイロドスル,牡4,57.0,横山武,高橋忠,栗東,2020101813,01170,ファインニードル ,スタリア ,アルカセット Alkaased(米) ,-1.8191208502740075,16
10,6,11,ソウルラッシュ,牡6,58.0,団野,池江,栗東,2018100382,01180,ルーラーシップ ,エターナルブーケ ,マンハッタンカフェ ,1.8983412695317265,3
11,6,12,アルナシーム,牡5,57.0,横山典,橋口,栗東,2019105252,00660,モーリス ,ジュベルアリ ,ディープインパクト ,1.0641656414273362,4
12,7,13,タイムトゥヘヴン,牡6,57.0,柴田善,戸田,美浦,2018100184,00641,ロードカナロア ,キストゥヘヴン ,アドマイヤベガ ,-1.4631214103032701,15
13,7,14,ロジリオン,牡3,55.0,北村宏,古賀,美浦,2021102424,01043,リオンディーズ ,ビービーバーレル ,パイロ Pyro(米) ,-0.04122298787327645,7
14,8,15,パラレルヴィジョン,牡5,57.0,ルメール,国枝,美浦,2019105065,05339,キズナ ,アールブリュット ,マクフィ Makfi(英) ,0.04842027385607131,6
15,8,16,ジュンブロッサム,牡5,57.0,戸崎圭,友道,栗東,2019105118,05386,ワールドエース ,エンプレスティアラ ,クロフネ ,1.924891705582891,1
16,8,17,バルサムノート,牡4,57.0,松岡,高野,栗東,2020103276,01085,モーリス ,エピセアローム ,ダイワメジャー ,-1.0220742646364436,13
