,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ユイノクニマレ,牡2,56.0,木幡初,深山,美浦,2022100802,01153,メイショウボーラー ,チャームキャップ ,キャプテンスティーヴ Captain Steve(米) ,-3.922475563743076,16
1,1,2,ルシード,牡2,56.0,野中,田島,美浦,2022103592,01158,スクリーンヒーロー ,ローゼンタール ,ロージズインメイ Roses in May(米) ,0.16868970488273904,2
2,2,3,ベアイミュニティ,牡2,53.0,▲佐藤,杉浦,美浦,2022106955,01207,ドレフォン Drefong(米) ,グローリールピナス ,マーベラスサンデー ,-3.2712549774558015,14
3,2,4,レッドルイナール,牡2,56.0,ルメール,加藤征,美浦,2022101438,05339,ブリックスアンドモルタル Bricks and Mortar(米) ,ハッピーグラス ,ディープインパクト ,-0.10481522384299545,5
4,3,5,シリウスライト,牡2,56.0,藤岡佑,和田郎,美浦,2022101042,01093,アメリカンペイトリオット ,クリスタルオーブ ,キンシャサノキセキ ,-3.365366073313562,15
5,3,6,ファミーユウルーズ,牡2,56.0,鮫島駿,武藤,美浦,2022107021,01157,ナダル Nadal(米) ,メジロミドウ ,ステイゴールド ,-0.6210925632692923,8
6,4,7,エクメノポリス,牡2,56.0,丸田,清水英,美浦,2022107298,01117,スワーヴリチャード ,ミシシッピコースト Mississippi Coast(米) ,Super Saver ,-1.0966668146677596,12
7,4,8,タガノキャロル,牝2,55.0,横山武,高橋一,栗東,2022106552,01170,マジェスティックウォリアー Majestic Warrior(米) ,アレキパ ,スペシャルウィーク ,-1.6086027068985298,13
8,5,9,ノーブルシーズン,牡2,56.0,北村宏,久保田,美浦,2022102858,01043,ハービンジャー Harbinger(英) ,シーズンズベスト ,ゼンノロブロイ ,-0.780598114360508,9
9,5,10,ロミヒ,牝2,55.0,松山弘平,伊藤圭,美浦,2022103741,01126,ヘニーヒューズ Henny Hughes(米) ,クイーンマンボ ,マンハッタンカフェ ,-0.21577512230944768,6
10,6,11,オビドス,牡2,56.0,吉田豊,高橋文,美浦,2022100073,00733,アニマルキングダム Animal Kingdom(米) ,エキスカベイター ,サクラバクシンオー ,-0.9012778483411449,11
11,6,12,アンエクスプロード,牡2,56.0,団野,池上,美浦,2022104571,01180,ヘニーヒューズ Henny Hughes(米) ,ロイヤルメジャー ,ダイワメジャー ,0.06775345794686279,3
12,7,13,マッハレイジング,牡2,56.0,石川,小崎,栗東,2022106597,01150,ディスクリートキャット Discreet Cat(米) ,マンイーター ,タイキシャトル ,0.0654311794233368,4
13,7,14,ドラゴンラック,牡2,56.0,津村,相沢,美浦,2022103848,01092,カリフォルニアクローム California Chrome(米) ,ビタースウィート ,Afleet Alex ,-0.5153445076376386,7
14,8,15,スパーブケン,牡2,56.0,武藤,水野,美浦,2022101072,01169,マルターズアポジー ,マルターズクリス ,シンボリクリスエス ,-0.8713775129967564,10
15,8,16,サルタール,牡2,56.0,角田和,小崎,栗東,2022106617,01186,マジェスティックウォリアー Majestic Warrior(米) ,イグレット ,Distorted Humor (米) ,0.8543181825795423,1
