,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,アイスアンドスノー,牡3,57.0,菊沢,古賀慎,,美浦,2023103691,01161,イスラボニータ,シナノネージュ,フレンチデピュティ,-0.667088565454856,8
1,1,2,ヤマトスイフト,牝3,52.0,▲上里,田村,,美浦,2023100560,01217,タワーオブロンドン,プレアヴィヒア,ドゥラメンテ,-2.2954852742083394,14
2,2,3,ルナーファントム,牡3,55.0,津村,上原佑,,美浦,2023107541,01092,Home Affairs,Arcadia Angel,Pierro,0.2552274469070908,1
3,2,4,ナムラコハル,牝3,55.0,大野,堀内,,美浦,2023106238,01096,フォーウィールドライブ,ナムラココロ,サウスヴィグラス,-2.347914527173455,15
4,3,5,フォルナカリア,牡3,57.0,丸山,栗田,,美浦,2023106959,01127,サートゥルナーリア,ガールオンファイア,アグネスタキオン,-0.48704366679430605,6
5,3,6,アルデバローズ,牝3,55.0,江田照,矢野,,美浦,2023100285,00689,ダノンスマッシュ,キリエ,ブライアンズタイム,-1.7134229553440816,12
6,4,7,メビウスロマンス,牝3,55.0,原,矢嶋,,美浦,2023101477,01184,ニューイヤーズデイ,セレンディップ,ダイワメジャー,-0.30913858433745556,4
7,4,8,ミリオングローリー,牡3,57.0,ディー,蛯名正,,美浦,2023102386,05674,ミッキーグローリー,タニノジュレップ,コロナドズクエスト,-0.4983792149203468,7
8,5,9,キタノソブリン,牡3,57.0,木幡育,本間,,美浦,2023101358,01167,ディープブリランテ,リバイブ,ロジユニヴァース,-2.1444963998813007,13
9,5,10,エッチェレンテ,牡3,57.0,三浦,鹿戸,,美浦,2023106914,01122,リアルスティール,エクセレンス,Champs Elysees,-0.4471213554249603,5
10,6,11,アーリマックス,牝3,52.0,▲石神道,清水英,,美浦,2023101779,01209,モズアスコット,グッドジュエリー,ハーツクライ,-1.5111738854238834,11
11,6,12,デルマカイモン,牡3,57.0,杉原,高柳瑞,,美浦,2023101371,01135,エイシンフラッシュ,マナツノヨノユメ,ヴィクトワールピサ,-1.3357011155290592,9
12,7,13,メリティス,牝3,55.0,吉田豊,嘉藤,,美浦,2023106369,00733,パイロ,テイストオブハニー,オルフェーヴル,-0.2531583165603185,3
13,7,14,ハチマン,牡3,54.0,▲水沼,柄崎,,美浦,2023101475,01201,アルアイン,コパノマルコリーニ,マヤノトップガン,-1.3519281141409367,10
14,8,15,キリミツ,牡3,57.0,石橋脩,勢司,,美浦,2023100307,01077,ルヴァンスレーヴ,アペラシオン,アドマイヤムーン,0.030032450627174617,2
15,8,16,ブザービーター,牡3,54.0,▲石田,黒岩,,美浦,2023105382,01203,リオンディーズ,モーニングコール,ブライアンズタイム,-2.5270208448663514,16
