,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,トーセンアミューズ,牡3,57.0,小崎,加藤征,,美浦,2023105959,01152,ダイワメジャー,ローザデルドバイ,Dubai Destination,0.5087154521337116,4
1,2,2,オンザムービー,牡3,57.0,横山和,牧田,,栗東,2023102455,01140,サンダースノー,インザムービー,リアルインパクト,0.8272502034961924,2
2,3,3,ワルキューレキング,牡3,54.0,▲小林美,伊藤大,,美浦,2023101524,01206,サートゥルナーリア,キョウエイカプリス,ゴールドアリュール,-0.43322001657057396,6
3,4,4,セイウンサファイア,牝3,54.0,☆長浜,本間,,美浦,2023106257,01214,ナダル,セイウンヴィーナス,カレンブラックヒル,-3.8023586166402943,12
4,5,5,メイショウタイザン,牡3,57.0,横山琉,高橋忠,,栗東,2023106570,01192,ミッキーアイル,メイショウタラチネ,メイショウボーラー,-0.230300952217596,5
5,5,6,サンオブザサン,牡3,57.0,斎藤,高橋一,,栗東,2023101979,01178,タニノフランケル,ソレイユフルール,マツリダゴッホ,-3.0340479242245095,11
6,6,7,ホシヅキヨ,牡3,57.0,松岡,柄崎,,美浦,2023104935,01085,ヴァンゴッホ,テンテマリ,スズカフェニックス,-0.6211887425766991,8
7,6,8,トーレス,牡3,57.0,古川吉,秋山,,栗東,2023100645,01015,シルバーステート,ロイヤルライン,クロフネ,-1.7751880911885185,10
8,7,9,メイショウライガ,牡3,53.0,★河原田,藤原,,栗東,2023100608,01204,シルバーステート,フェットデメール,エピファネイア,-0.47998606586295844,7
9,7,10,コイオステソーロ,牡3,57.0,丹内,高木,,美浦,2023104193,01091,ナダル,クァンタムミス,Smoke Glacken,0.5161745658332535,3
10,8,11,キセログラフィカ,牡3,57.0,横山武,大和田,,美浦,2023105682,01170,ナダル,バニーテール,カネヒキリ,0.9338551758720909,1
11,8,12,エトワールブルー,牡3,54.0,▲遠藤,本田,,栗東,2023100389,01218,サートゥルナーリア,ブルーロータス,ディープインパクト,-1.5432765782128886,9
