,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202503030412,1,5,9,ファイナルヒート,牡5,55.0,▲舟山,0:2:01.1,,6,13.5,35.2,,美浦 古賀,506(-8)
202503030412,2,2,4,コスモレオナルド,牡4,55.0,▲石神道,0:2:01.2,3/4,5,8.2,34.9,,美浦 鹿戸,470(-2)
202503030412,3,3,5,エイシンジェンマ,牝5,56.0,川又,0:2:01.3,3/4,7,14.0,34.5,,栗東 中尾,498(-6)
202503030412,4,6,11,アリスメティーク,牝3,54.0,丸田,0:2:01.5,1,2,4.0,34.7,,美浦 大竹,436(-2)
202503030412,5,7,13,マジカルワード,牝5,56.0,柴田善,0:2:01.5,クビ,12,91.5,35.4,,美浦 大竹,444(-4)
202503030412,6,6,12,フォルテフィオーレ,牡4,58.0,菊沢,0:2:01.8,1.1/2,3,7.6,34.7,,美浦 上原佑,454(0)
202503030412,7,1,2,リュケイオン,牡4,58.0,石川,0:2:01.9,3/4,4,7.7,34.6,,美浦 奥村武,436(-10)
202503030412,8,4,7,テンドリームガール,牝3,54.0,原,0:2:01.9,ハナ,8,16.7,35.0,,美浦 矢野,410(-4)
202503030412,9,8,16,アルヴィア,牡4,55.0,▲石田,0:2:02.1,1.1/4,16,182.8,34.8,,美浦 小西,480(+10)
202503030412,10,4,8,ナスノソナタ,牡3,56.0,富田,0:2:02.1,クビ,14,114.2,35.4,,美浦 武井,486(+16)
202503030412,11,3,6,ウィズマスタング,牡3,56.0,国分恭,0:2:02.2,アタマ,11,43.4,36.2,,栗東 西園翔,450(+6)
202503030412,12,7,14,スタニングヴュー,牝3,54.0,伊藤,0:2:02.2,アタマ,9,24.0,36.2,,美浦 金成,460(0)
202503030412,13,1,1,ダノンアトラス,牡4,58.0,荻野極,0:2:02.8,4,1,3.6,36.1,,栗東 橋口,404(0)
202503030412,14,8,15,デルマジュテーム,牝3,54.0,的場,0:2:03.0,1.1/4,13,110.8,36.6,,美浦 的場,450(-2)
202503030412,15,2,3,トリオンファルマン,牝5,56.0,高杉,0:2:03.0,クビ,10,28.5,36.6,,栗東 笹田,442(-16)
202503030412,16,5,10,アミアン,牝4,56.0,木幡育,0:2:03.3,1.1/2,15,153.3,36.2,,美浦 本間,412(-4)
