,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202504010103,12,2,3,イスラコラソン,牝3,52.0,上里直汰,0:1:13.6,3/4,72.7,10.0,442,[東] 大和田成,ダート,1200,晴,稍重,2025年05月03日,未勝利,2022105445,01217
202504010103,13,4,7,フューチャステップ,牝3,55.0,小林脩斗,0:1:14.1,3,515.2,15.0,472,[東] 青木孝文,ダート,1200,晴,稍重,2025年05月03日,未勝利,2022102304,01183
202504010103,14,1,1,ホワイトマジック,牡3,55.0,永島まな,0:1:14.1,アタマ,44.3,9.0,460,[東] 田中剛,ダート,1200,晴,稍重,2025年05月03日,未勝利,2022101635,01187
202504010103,15,5,9,ゴールドエンペラー,牡3,54.0,川端海翼,0:1:15.5,9,142.7,14.0,512,[西] 羽月友彦,ダート,1200,晴,稍重,2025年05月03日,未勝利,2022100902,01195
202504010104,1,5,7,ドゥラモンド,牡7,57.0,坂口智康,0:3:08.5,nan,10.8,6.0,500,[東] 手塚貴久,障害,2890,晴,良,2025年05月03日,オープン,2018105078,01211
202504010104,2,1,1,エンデュミオン,牡8,59.0,鷲頭虎太,0:3:08.5,アタマ,13.4,7.0,468,[西] 清水久詞,障害,2890,晴,良,2025年05月03日,オープン,2017106153,01202
202504010104,3,4,6,ミトロジー,セ9,60.0,金子光希,0:3:08.8,1.3/4,6.4,3.0,484,[東] 尾関知人,障害,2890,晴,良,2025年05月03日,オープン,2016104665,01052
202504010104,4,3,3,ガンダルフ,牡7,60.0,伴啓太,0:3:09.0,1.1/4,8.9,5.0,492,[東] 国枝栄,障害,2890,晴,良,2025年05月03日,オープン,2018104907,01149
202504010104,5,8,13,コンテナワールド,牡4,57.0,井上敏樹,0:3:09.0,ハナ,3.9,2.0,476,[西] 中竹和也,障害,2890,晴,良,2025年05月03日,オープン,2021104924,01151
202504010104,6,4,5,テイエムナイスラン,牡6,57.0,土田真翔,0:3:09.1,3/4,23.6,8.0,534,[東] 石栗龍彦,障害,2890,晴,良,2025年05月03日,オープン,2019102826,01198
202504010104,7,5,8,リレーションシップ,牡8,60.0,高田潤,0:3:09.4,1.1/2,8.2,4.0,516,[西] 斉藤崇史,障害,2890,晴,良,2025年05月03日,オープン,2017105272,01046
202504010104,8,7,12,ヴァトレニ,セ7,60.0,森一馬,0:3:09.4,ハナ,3.4,1.0,444,[西] 長谷川浩,障害,2890,晴,良,2025年05月03日,オープン,2018104331,01139
202504010104,9,6,10,サンマルグレイト,牡5,60.0,大江原圭,0:3:09.6,1.1/2,33.4,9.0,448,[東] 佐藤吉勝,障害,2890,晴,良,2025年05月03日,オープン,2020101779,01120
202504010104,10,7,11,ヤマタケアオイバラ,牡5,57.0,水沼元輝,0:3:09.9,1.1/2,159.9,13.0,452,[東] 萱野浩二,障害,2890,晴,良,2025年05月03日,オープン,2020102211,01201
