,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ホワイトラバーズ,牝3,55.0,古川吉,大根田,,栗東,2023101742,01015,ディーマジェスティ,ホッコーエレノア,クロフネ,-2.843634617058469,12
1,1,2,リビングラヴ,牝3,55.0,岩田康,牧田,,栗東,2023102736,05203,ロンドンタウン,ホザンナ,ダイワメジャー,-0.7346803917955894,2
2,2,3,メイショウアカリ,牝3,55.0,太宰,松下,,栗東,2023106568,01037,ホッコータルマエ,メイショウワカツキ,マンハッタンカフェ,-3.103064060003656,14
3,2,4,ダリアフレイバー,牝3,55.0,松若,河嶋,,栗東,2023102197,01154,ルヴァンスレーヴ,ココナフレイバー,スウェプトオーヴァーボード  Swept Overboard(米),-3.918734555561075,16
4,3,5,ハイラブエナン,牝3,52.0,▲和田陽,谷,,栗東,2023101780,01223,ウォータービルド,ニュードラゴン,アンライバルド,-2.7980062597497493,11
5,3,6,トモジャカトゥーラ,牝3,55.0,国分優,大根田,,栗東,2023103067,01125,クリソベリル,トモジャオール,エンパイアメーカー  Empire Maker(米),-0.8364770141636235,3
6,4,7,アンウェイバリング,牝3,52.0,▲田山,羽月,,栗東,2023105639,01220,カリフォルニアクローム  California Chrome(米),シェリーカスク,ハーツクライ,-2.393404655378974,10
7,4,8,アティラン,牝3,55.0,川又,寺島,,栗東,2023105641,01166,ヴァンゴッホ,ジーニアル,キングカメハメハ,-1.1370932288552635,4
8,5,9,ヴァイヴァーイ,牝3,55.0,小崎,小崎,,栗東,2023106711,01152,マジェスティックウォリアー  Majestic Warrior(米),イリデ,Indian Charlie,-3.1341307087845576,15
9,5,10,ハッピーラブソング,牝3,55.0,高杉,牧浦,,栗東,2023100566,01213,バンドワゴン,ハッピーアモーレ,ハーツクライ,-2.9734328932582876,13
10,6,11,ルージュエテルナ,牝3,55.0,岩田望,友道,,栗東,2023103330,01174,エピファネイア,インデリブル,Tiznow,-2.15416937821582,9
11,6,12,ヴェスタールカ,牝3,55.0,鮫島駿,高野,,栗東,2023106917,01157,Wootton Bassett  (英),エトワールIII  Etoile(米),War Front,-1.4561534463674406,7
12,7,13,ペガサスウィンド,牝3,55.0,吉村,宮地,,栗東,2023100609,01216,マインドユアビスケッツ  Mind Your Biscuits(米),ペガサスハーツ,ハーツクライ,-1.8335137123807965,8
13,7,14,ペトリコール,牝3,55.0,北村友,上村,,栗東,2023107141,01102,Justify  (米),ナイセスト  Nicest(愛),American Pharoah  (米),-1.1427404394808887,5
14,8,15,アリュウ,牝3,53.0,△鷲頭,井上,,栗東,2023104938,01202,アドマイヤマーズ,ヒラボクウィン,ワイルドラッシュ  Wild Rush(米),-1.422833943681137,6
15,8,16,ジャミールアイン,牝3,51.0,★河原田,藤原,,栗東,2023107139,01204,ドレフォン  Drefong(米),ドバイマジェスティ  Dubai Majesty(米),Essence of Dubai,0.4613588247860909,1
