,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202408070901,1,5,9,ダイシンリンク,牡2,53.0,川端海翼,0:1:26.5,nan,13.7,4.0,458,[西] 森秀行,1400,晴,ダート,良,2024年12月28日,未勝利,2022106699,01195
202408070901,2,1,1,テーオートムソン,牡2,56.0,藤岡佑介,0:1:26.6,クビ,16.9,6.0,492,[西] 奥村豊,1400,晴,ダート,良,2024年12月28日,未勝利,2022103210,01093
202408070901,3,3,6,コーラルクラウン,牡2,54.0,吉村誠之,0:1:26.7,1/2,14.3,5.0,490,[西] 福永祐一,1400,晴,ダート,良,2024年12月28日,未勝利,2022105094,01216
202408070901,4,4,7,アイルビリーヴ,牡2,56.0,小崎綾也,0:1:26.9,1.1/2,57.2,11.0,470,[西] 新谷功一,1400,晴,ダート,良,2024年12月28日,未勝利,2022103176,01152
202408070901,5,4,8,アスゴッド,牡2,56.0,岩田望来,0:1:27.1,1,1.8,1.0,506,[西] 矢作芳人,1400,晴,ダート,良,2024年12月28日,未勝利,2022103704,01174
202408070901,6,2,4,サンライズブレイク,牡2,56.0,幸英明,0:1:27.6,3,27.6,7.0,512,[西] 浜田多実,1400,晴,ダート,良,2024年12月28日,未勝利,2022101396,00732
202408070901,7,6,11,スリーレジェンド,牡2,56.0,酒井学,0:1:27.7,3/4,107.0,13.0,500,[西] 石橋守,1400,晴,ダート,良,2024年12月28日,未勝利,2022103602,01034
202408070901,8,8,16,セガンティーニ,牝2,55.0,Ｍ．デム,0:1:27.7,クビ,28.7,8.0,468,[西] 坂口智康,1400,晴,ダート,良,2024年12月28日,未勝利,2022106835,05212
202408070901,9,5,10,ジュエルハウス,牝2,55.0,鮫島克駿,0:1:27.9,1,4.2,2.0,474,[西] 西園翔太,1400,晴,ダート,良,2024年12月28日,未勝利,2022103150,01157
202408070901,10,7,13,ルルーディ,牝2,54.0,田口貫太,0:1:28.1,1.1/4,338.1,14.0,446,[西] 宮地貴稔,1400,晴,ダート,良,2024年12月28日,未勝利,2022100883,01208
202408070901,11,8,15,ソードナイト,牡2,55.0,小沢大仁,0:1:28.2,1/2,53.9,10.0,492,[西] 中村直也,1400,晴,ダート,良,2024年12月28日,未勝利,2022102650,01185
