index,着順,race_type,course_len,ground_state,class,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
201910010802,9,ダート,1000,不良,,メイショウボーラー,ヤマカツジャスミン,タイキシャトル,ナイスレイズ Nice Raise(米),フジキセキ,テスコヤマカツ,Devil's Bag,ウェルシュマフィン Welsh Muffin(愛),Storm Cat (米),Nice Tradition,サンデーサイレンス Sunday Silence(米),ミルレーサー Millracer(米),テスコボーイ Tesco Boy(英),インディアンジユエル Indian Jewel(新),Halo,Ballade,Caerleon,Muffitys,Storm Bird,Terlingua,Search Tradition,Nice Dancing,Halo,Wishing Well,Le Fabuleux,Marston's Mill,Princely Gift,Suncourt,Idomeneo,Faresa,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Nashua,Searching,Kazan,Nice,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,Nasrullah,Blue Gem,Hyperion,Inquisition,Alycidon,Arietta,Blueskin,Indian Charm
201910010802,10,ダート,1000,不良,,ヨハネスブルグ Johannesburg(米),マイダイナマイト,ヘネシー Hennessy(米),Myth,ダイナマイトダディ,ミロク,Storm Cat (米),Island Kitty,オジジアン Ogygian(米),Yarn,サクラユタカオー,ダイナサルーン,ボールドコンバタント,ミスベエンチア,Storm Bird,Terlingua,Hawaii,T. C. Kitten,Damascus,Gonfalon,Mr. Prospector,Narrate,テスコボーイ,アンジェリカ,ノーザンテースト,シヤダイクリアー,Bold Ruler,Antagonism,ヴェンチア,オンワードカルミヤ,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Utrillo,Ethane,Tom Cat,Needlebug,Sword Dancer,Kerala,Francis S.,Grand Splendor,Raise a Native,Gold Digger,Honest Pleasure,State,Princely Gift,Suncourt,ネヴァービート,スターハイネス,Northern Dancer,Lady Victoria,ガーサント,ペルルピーチ,Nasrullah,Miss Disco,Eight Thirty,Hostility,Relic,Rose O'Lynn,プロント,ミスオンワード
201910010802,11,ダート,1000,不良,,サウスヴィグラス,カネトシパリッシュ,エンドスウィープ End Sweep(米),ダーケストスター Darkest Star(米),Tapit (米),Invermay,フォーティナイナー Forty Niner(米),Broom Dance,Star de Naskra,Minnie Riperton,Pulpit,Tap Your Heels,Dynaformer,Balletomane,Mr. Prospector,File,Dance Spell,Witching Hour,Naskra,Candle Star,Cornish Prince,English Harbor,A.P. Indy,Preach,Unbridled,Ruby Slippers,Roberto,Andover Way,Sadler's Wells,Franconia,Raise a Native,Gold Digger,Tom Rolfe,Continue,Northern Dancer,Obeah,Thinking Cap,Enchanted Eve,Nasram,Iskra,Clandestine,Star Minstrel,Bold Ruler,Teleran,War Admiral,Level Sands,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,Fappiano,Gana Facil,Nijinsky,Moon Glitter,Hail to Reason,Bramalea,His Majesty,On the Trail,Northern Dancer,Fairy Bridge,ラインゴールド,Miss Glasso
201910010802,12,ダート,1000,不良,,ヨハネスブルグ Johannesburg(米),オマイタ Omaita(米),ヘネシー Hennessy(米),Myth,Miswaki,Willowy Mood,Storm Cat (米),Island Kitty,オジジアン Ogygian(米),Yarn,Mr. Prospector,Hopespringseternal,Will Win,Lohagogo,Storm Bird,Terlingua,Hawaii,T. C. Kitten,Damascus,Gonfalon,Mr. Prospector,Narrate,Raise a Native,Gold Digger,Buckpasser,Rose Bower,Raise a Native,Our World,Aloha Mood,Forest Princess,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Utrillo,Ethane,Tom Cat,Needlebug,Sword Dancer,Kerala,Francis S.,Grand Splendor,Raise a Native,Gold Digger,Honest Pleasure,State,Native Dancer,Raise You,Nashua,Sequence,Tom Fool,Busanda,Princequillo,Lea Lane,Native Dancer,Raise You,Our Michael,Busy Jill,Pago Pago,Miss Relic,Fleet Nasrullah,Queen Hostess
201910010802,13,ダート,1000,不良,,エンパイアメーカー Empire Maker(米),ジョウノナンシー,Unbridled,Toussaud,フレンチデピュティ French Deputy(米),シーズグレイス,Fappiano,Gana Facil,El Gran Senor,Image of Reality,Deputy Minister,Mitterand,サンデーサイレンス Sunday Silence(米),ザンベージ,Mr. Prospector,Killaloe,Le Fabuleux,Charedi,Northern Dancer,Sex Appeal,In Reality,Edee's Image,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Halo,Wishing Well,ノーザンテースト,ヨドセンリョウ,Raise a Native,Gold Digger,Dr. Fager,Grand Splendor,Wild Risk,Anguar,In Reality,Magic,Nearctic,Natalma,Buckpasser,Best in Show,Intentionally,My Dear Girl,Cornish Prince,Ortalan,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Speak John,Blue Moon,Bold Ruler,Fortunate Isle,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,エルセンタウロ,リリーオブザナイル
201910010802,14,ダート,1000,不良,,ナカヤマフェスタ,ファーストサイト,ステイゴールド,ディアウィンク,メジロライアン,スギノシャーロット,サンデーサイレンス Sunday Silence(米),ゴールデンサッシュ,タイトスポット Tight Spot(米),セイレイ,アンバーシャダイ,メジロチェイサー,Woodman,Charlotte Amalie,Halo,Wishing Well,ディクタス,ダイナサッシュ,His Majesty,Premium Win,デインヒル,センスオブリズム,ノーザンテースト,クリアアンバー,メジロサンマン,シエリル,Mr. Prospector,プレイメイト,ゲイメセン,Serenita,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,Ribot,Flower Bowl,Lyphard,Classic Perfection,Danzig,Razyana,Cure the Blues,Sensibility,Northern Dancer,Lady Victoria,Ambiopoise,One Clear Call,Charlottesville,パラデイシア,スノッブ,Chanel,Raise a Native,Gold Digger,Buckpasser,Intriguing,Vaguely Noble,Gay Missile,Lyphard,Servilia
201910010803,1,芝,1200,重,未勝利,リーチザクラウン,プレシャスエルフ,スペシャルウィーク,クラウンピース,コロナドズクエスト Coronado's Quest(米),プレシャスフラワー,サンデーサイレンス Sunday Silence(米),キャンペンガール,Seattle Slew,クラシッククラウン Classic Crown(米),フォーティナイナー Forty Niner(米),Laughing Look,サンデーサイレンス Sunday Silence(米),プレシャスキール,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Bold Reasoning,My Charmer,Mr. Prospector,Six Crowns,Mr. Prospector,File,Damascus,Laughter,Halo,Wishing Well,ノーザンテースト,マルゼンキール,Hail to Reason,Cosmah,Understanding,Mountain Flower,Nijinsky,シル,セントクレスピン,ミスアシヤガワ,Boldnesian,Reason to Earn,Poker,Fair Charmer,Raise a Native,Gold Digger,Secretariat,Chris Evert,Raise a Native,Gold Digger,Tom Rolfe,Continue,Sword Dancer,Kerala,Bold Ruler,Shenanigans,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,ボールドラツド,シル
201910010803,2,芝,1200,重,未勝利,War Front,Moth,Danzig,Starry Dreamer,Galileo (愛),Pieds de Plume,Northern Dancer,Pas de Nom,Rubiano,Lara's Star,Sadler's Wells (米),Urban Sea (米),Seattle Slew,Featherhill,Nearctic,Natalma,Admiral's Voyage,Petitioner,Fappiano,Ruby Slippers,Forli,True Reality,Northern Dancer,Fairy Bridge,Miswaki,Allegretta,Bold Reasoning,My Charmer,Lyphard,Lady Berry,Nearco,Lady Angela,Native Dancer,Almahmoud,Crafty Admiral,Olympia Lou,Petition,Steady Aim,Mr. Prospector,Killaloe,Nijinsky,Moon Glitter,Aristophanes,Trevisa,Round Table,Secret Promise,Nearctic,Natalma,Bold Reason,Special,Mr. Prospector,Hopespringseternal,Lombard,Anatevka,Boldnesian,Reason to Earn,Poker,Fair Charmer,Northern Dancer,Goofed,Violon d'Ingres,Moss Rose
201910010803,3,芝,1200,重,未勝利,スクリーンヒーロー,グリーンアイズII,グラスワンダー,ランニングヒロイン,Green Desert,Karlafsha,Silver Hawk,Ameriflora,サンデーサイレンス Sunday Silence(米),ダイナアクトレス,Danzig,Foreign Courier,Top Ville,Karosa,Roberto,Gris Vitesse,Danzig,Graceful Touch,Halo,Wishing Well,ノーザンテースト,モデルスポート,Northern Dancer,Pas de Nom,Sir Ivor,Courtly Dee,High Top,Sega Ville,Caro,Asoka,Hail to Reason,Bramalea,Amerigo,Matchiche,Northern Dancer,Pas de Nom,His Majesty,Pi Phi Gal,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,モデルフール,マジックゴデイス,Nearctic,Natalma,Admiral's Voyage,Petitioner,Sir Gaylord,Attica,Never Bend,Tulle,Derring-Do,Camenae,Charlottesville,La Sega,フォルティノ,Chambord,Abdos,Phersala
201910010803,4,芝,1200,重,未勝利,ダノンシャンティ,メイショウフェーヴ,フジキセキ,シャンソネット Chansonnette(英),フレンチデピュティ French Deputy(米),アルペンローズ Alpine Rose(米),サンデーサイレンス Sunday Silence(米),ミルレーサー Millracer(米),Mark of Esteem,Glorious Song,Deputy Minister,Mitterand,Kris S.,Amizette,Halo,Wishing Well,Le Fabuleux,Marston's Mill,Darshaan,Homage,Halo,Ballade,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Roberto,Sharp Queen,フォーティナイナー,Courtly Dee,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,Shirley Heights,Delsy,Ajdal,Home Love,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Speak John,Blue Moon,Bold Ruler,Fortunate Isle,Hail to Reason,Bramalea,Princequillo,Bridgework,Mr. Prospector,File,Never Bend,Tulle
201910010803,5,芝,1200,重,未勝利,キングズベスト King's Best(米),ビクトリアメーク,Kingmambo (米),Allegretta,ラストタイクーン Last Tycoon(愛),ヒルズオブヘザー Hills of Heather(愛),Mr. Prospector,Miesque,Lombard,Anatevka,トライマイベスト Try My Best(米),Mill Princess,Cure the Blues,スーパーハニイ Super Honey(英),Raise a Native,Gold Digger,Nureyev,Pasadoble,Agio,Promised Lady,Espresso,Almyra,Northern Dancer,Sex Appeal,Mill Reef,Irish Lass,Stop the Music,Quick Cure,テスコボーイ,Crystal Honey,Native Dancer,Raise You,Nashua,Sequence,Northern Dancer,Special,Prove Out,Santa Quilla,Tantieme,Aralia,Prince Chevalier,Belle Sauvage,Acropolis,Babylon,Birkhahn,Alameda,Nearctic,Natalma,Buckpasser,Best in Show,Never Bend,Milan Mill,Sayajirao,Scollata,Hail to Reason,Bebopper,Dr. Fager,Speedwell,Princely Gift,Suncourt,Honeyway,Visibility Good
201910010803,6,芝,1200,重,未勝利,ヴィクトワールピサ,ビラゴーティアラ,ネオユニヴァース,ホワイトウォーターアフェア Whitewater Affair(英),スターオブコジーン Star of Cozzene(米),ブルーファイブ,サンデーサイレンス Sunday Silence(米),ポインテッドパス Pointed Path(英),Machiavellian,Much Too Risky,Cozzene,Star Gem,シンコウキング,リバーラス,Halo,Wishing Well,Kris,Silken Way,Mr. Prospector,Coup de Folie,Bustino,Short Rations,Caro,Ride the Trails,Pia Star,Soonerland,Fairy King,Rose of Jericho,マルゼンスキー,エースエンジェル,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sharpen Up,Doubly Sure,Shantung,Boulevard,Raise a Native,Gold Digger,Halo,Raise the Standard,Busted,Ship Yard,Lorenzaccio,Short Commons,フォルティノ,Chambord,Prince John,Wildwook,Olympia,Inquisitive,Fleet Nasrullah,Hill Indian,Northern Dancer,Fairy Bridge,Alleged,Rose Red,Nijinsky,シル,チャイナロック,キユリオツサ
201910010803,7,芝,1200,重,未勝利,スクリーンヒーロー,インシスト,グラスワンダー,ランニングヒロイン,シンボリクリスエス,マローラ Maroulla(愛),Silver Hawk,Ameriflora,サンデーサイレンス Sunday Silence(米),ダイナアクトレス,Kris S.,Tee Kay,Caerleon (米),Mamaluna,Roberto,Gris Vitesse,Danzig,Graceful Touch,Halo,Wishing Well,ノーザンテースト,モデルスポート,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Nijinsky,Foreseer,Roberto,Kadesh,Hail to Reason,Bramalea,Amerigo,Matchiche,Northern Dancer,Pas de Nom,His Majesty,Pi Phi Gal,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,モデルフール,マジックゴデイス,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Hail to Reason,Bramalea,Lucky Mel,News Release
201910010803,8,芝,1200,重,未勝利,オルフェーヴル,ショウサンウルル,ステイゴールド,オリエンタルアート,Grand Slam,キングズラヴ King's Love(米),サンデーサイレンス Sunday Silence(米),ゴールデンサッシュ,メジロマックイーン,エレクトロアート,Gone West,Bright Candles,Kingmambo (米),Love From the Air,Halo,Wishing Well,ディクタス,ダイナサッシュ,メジロティターン,メジロオーロラ,ノーザンテースト,グランマスティーヴンス,Mr. Prospector,Secrettame,El Gran Senor,Christmas Bonus,Mr. Prospector,Miesque,Deputy Minister,Solar,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,メジロアサマ,シエリル,リマンド,メジロアイリス,Northern Dancer,Lady Victoria,Lt. Stevens,Dhow,Raise a Native,Gold Digger,Secretariat,Tamerett,Northern Dancer,Sex Appeal,Key to the Mint,Sugar Plum Time,Raise a Native,Gold Digger,Nureyev,Pasadoble,Vice Regent,Mint Copy,Halo,Sex Appeal
