,result_flag
0,True
1,True
2,True
3,False
4,False
5,False
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,True
14,True
15,True
16,False
17,False
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,False
26,False
27,True
28,True
29,True
30,False
31,False
32,False
33,False
34,False
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,True
44,True
45,True
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,False
55,True
56,True
57,True
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,True
72,True
73,True
74,False
75,False
76,False
77,False
78,False
79,False
80,True
81,True
82,True
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,True
92,True
93,True
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,True
108,True
109,True
110,False
111,False
112,False
113,False
114,False
115,False
116,False
117,False
118,False
119,False
120,False
121,False
122,False
123,True
124,True
125,True
126,False
127,False
128,False
129,False
130,False
131,False
132,False
133,False
134,True
135,True
136,True
137,False
138,False
139,False
140,False
141,False
142,False
143,False
144,False
145,False
146,True
147,True
148,True
149,False
150,False
151,False
152,False
153,False
154,False
155,False
156,True
157,True
158,True
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,False
167,False
168,False
169,False
170,False
171,False
172,True
173,True
174,True
175,False
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,False
184,False
185,False
186,False
187,False
