,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ケイベエ,牡2,56.0,木幡巧,杉浦,,美浦,2023102803,01162,エピファネイア,トゥアーニー,Country Reel,-0.620205748656172,1
1,1,2,メイポール,牝2,55.0,嶋田,武市,,美浦,2023106601,01134,ホッコータルマエ,ファンファーレ,フレンチデピュティ,-0.8718344943026141,3
2,2,3,ホウオウヘッセン,牡2,56.0,戸崎圭,田島,,美浦,2023102440,05386,ウインブライト,ローゼンタール,ロージズインメイ,-1.6705288490147288,8
3,2,4,フュルスティン,牝2,55.0,横山武,加藤士,,美浦,2023100583,01170,ダノンキングリー,ヤンチャヒメ,クロフネ,-1.2081799428863262,6
4,3,5,ノアシルヴィ,牝2,55.0,菅原隆,天間,,美浦,2023101392,01129,ファインニードル,ミエノプリンプリン,ハービンジャー,-1.9494878278801735,11
5,3,6,ジーティーニッツァ,牡2,53.0,▲遠藤,伊藤伸,,美浦,2023106331,01218,ミスチヴィアスアレックス,ドリームデュネット,ディープインパクト,-2.1610622536265023,14
6,4,7,クールフィールド,牝2,55.0,石橋脩,矢野,,美浦,2023100280,01077,フォーウィールドライブ,クールユリア,ケイムホーム,-0.9996673754350921,5
7,4,8,スラッシュコード,牡2,56.0,丹内,伊藤圭,,美浦,2023101448,01091,ミスターメロディ,グリンテソーロ,カジノドライヴ,-0.9777292386133943,4
8,5,9,ダイユウサルターレ,牡2,56.0,佐々木,松永康,,美浦,2023102809,01197,サートゥルナーリア,ラストワルツ,ゼンノロブロイ,-2.0301204277980247,12
9,5,10,チッタデラモーレ,牡2,53.0,▲佐藤,伊藤圭,,美浦,2023102621,01207,アメリカンペイトリオット,ユアインマイハート,ハーツクライ,-1.8696206529348427,10
10,6,11,トモエナゲ,牡2,56.0,小林脩,青木,,美浦,2023105542,01183,ベストウォーリア,キョウモバライロ,フリオーソ,-2.8231915382090165,16
11,6,12,マイチバイ,牝2,55.0,松岡,堀内,,美浦,2023104588,01085,シルバーステート,ブルーボサノヴァ,パイロ,-0.7151022897135725,2
12,7,13,ライトブルースカイ,牝2,52.0,▲舟山,柄崎,,美浦,2023106147,01221,ゴールドドリーム,カルブンクルス,スタチューオブリバティ,-2.4720939521571115,15
13,7,14,カンフーヒーロー,牡2,56.0,江田照,的場,,美浦,2023101482,00689,ストロングリターン,ラインステッチ,Fusaichi Pegasus,-2.079730201604699,13
14,8,15,オレンジリバー,牝2,55.0,原,黒岩,,美浦,2023103727,01184,スワーヴリチャード,リフタスフェルト,ヨハネスブルグ,-1.7448581276650172,9
15,8,16,ウルヴァリン,牡2,54.0,△長浜,伊藤伸,,美浦,2023106170,01214,ベストウォーリア,リクエストアワー,ネオユニヴァース,-1.5705722961965012,7
