,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ビップマリン,牝2,54.0,☆西塚,高柳瑞,美浦,2022102417,01200,エイシンフラッシュ ,ビップピュアレディ ,フジキセキ ,-0.9891904891760589,8
1,2,2,スターエンブレム,牡2,56.0,菅原明,林,美浦,2022105130,01179,ロードカナロア ,リッスン Listen(愛) ,Sadler's Wells (米) ,-1.1160544867811926,9
2,3,3,マミーブルー,牝2,52.0,▲佐藤,杉浦,美浦,2022100958,01207,マクフィ Makfi(英) ,ラストマイア ,ローエングリン ,-1.1541477275862082,10
3,4,4,ティラトーレ,牝2,55.0,木幡巧,牧,美浦,2022105246,01162,リアルスティール ,エアシンフォニー ,ルーラーシップ ,-0.9100923284986173,7
4,5,5,ユイノガリクソン,牡2,56.0,長岡,深山,美浦,2022103997,01142,ノーブルミッション Noble Mission(英) ,ミネルバサウンド ,ブライアンズタイム Brian's Time(米) ,-0.5673507567726543,5
5,6,6,リョウランナイト,牡2,56.0,石橋脩,小野,美浦,2022100775,01077,バゴ Bago(仏) ,ハーツデザイヤー ,アグネスタキオン ,-0.6000204048663298,6
6,7,7,ネオシャクナゲ,牡2,56.0,田辺,小西,美浦,2022106080,01075,パドトロワ ,ボルティモア ,ステイゴールド ,-0.4730540947411764,4
7,7,8,マードラド,牡2,56.0,内田博,鈴木慎,美浦,2022107343,00422,レイデオロ ,ミスペンバリー ,モンジュー Montjeu(愛) ,-0.034440362377634856,2
8,8,9,ヤマニンパルフェ,牝2,54.0,☆原,辻,美浦,2022106608,01184,シャンハイボビー Shanghai Bobby(米) ,ヤマニンヌヌース ,ディープインパクト ,0.14292492142238944,1
9,8,10,タッチザシーリング,牝2,55.0,佐々木,菊川,美浦,2022105393,01197,アルアイン ,タッチザモーメント ,キングカメハメハ ,-0.22403719532229288,3
