,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,キュアフローラ,牝2,52.0,▲吉村,音無,栗東,2022102191,01216,マジェスティックウォリアー Majestic Warrior(米) ,キュアロージズ ,ロージズインメイ Roses in May(米) ,0.17888058103398521,5
1,2,2,フルセンド,牝2,52.0,▲今村,福永,栗東,2022105391,01193,エピファネイア ,ゼラスキャット Zealous Cat(米) ,Storm Cat (米) ,0.6350021140562829,2
2,3,3,アスタールフナ,牝2,55.0,岩田望,中竹,栗東,2022101557,01174,ジョーカプチーノ ,アスターヒューモア ,More Than Ready ,-0.308565255053048,6
3,3,4,ラブリヴ,牝2,55.0,北村友,高橋一,栗東,2022101136,01102,ラブリーデイ ,ホウショウリヴ ,Holy Bull (米) ,-1.1709225978383042,7
4,4,5,ブロンドエール,牝2,55.0,Ｃデムーロ,中村,栗東,2022105017,05473,ヘニーヒューズ Henny Hughes(米) ,プラチナブロンド ,ジャングルポケット ,0.31951715234259687,3
5,4,6,スノーサウンド,牝2,55.0,石川,牧田,栗東,2022107088,01150,ゴールドドリーム ,カネツプリンセス ,サクラバクシンオー ,2.0318649533039483,1
6,5,7,カネトシエテルノ,牝2,54.0,☆田口,大橋,栗東,2022100167,01208,アジアエクスプレス ,カネトシビバーチェ ,キングカメハメハ ,0.18394156137148956,4
7,5,8,タウングー,牝2,55.0,酒井,藤沢,栗東,2022102986,01034,バゴ Bago(仏) ,トーコーヴィオラ ,ディープインパクト ,-2.5641926988872035,10
8,6,9,シャンクドール,牝2,55.0,浜中,石橋,栗東,2022104060,01115,マジェスティックウォリアー Majestic Warrior(米) ,グーテデロワ ,スペシャルウィーク ,-2.7136477656779734,12
9,6,10,バシリス,牝2,55.0,松山,寺島,栗東,2022106631,01126,シニスターミニスター Sinister Minister(米) ,キングベイビー ,マンハッタンカフェ ,-2.1425639770298055,9
10,7,11,ヒミノエトワール,牝2,55.0,池添,宮地,栗東,2022102388,01032,パイロ Pyro(米) ,ヒミノプリンセス ,マンハッタンカフェ ,-2.099592899929477,8
11,7,12,フェアリアルギフト,牝2,55.0,団野,緒方,栗東,2022104014,01180,ルヴァンスレーヴ ,ダブルミステリー ,ダイワメジャー ,-2.7063849739854877,11
12,8,13,ファンシーデイ,牝2,55.0,鮫島駿,藤野,栗東,2022104986,01157,ニューイヤーズデイ ,ファンシーミューズ ,ゴールドアリュール ,-3.9483099475285863,14
13,8,14,セカンドフラッシュ,牝2,55.0,古川吉,木原,栗東,2022106121,01015,リアルインパクト ,ジュンユーミン ,キングカメハメハ ,-3.4725591322303613,13
