,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,リトルシップス,牡2,56.0,小林凌,土田,美浦,2022102365,01177,ダンカーク Dunkirk(米) ,スコッチフラワー ,ゼンノロブロイ ,-3.4183836492400808,16
1,1,2,ピーターライズ,牡2,56.0,佐々木,伊藤圭,美浦,2022103752,01197,パイロ Pyro(米) ,ストロングハート ,サウスヴィグラス ,-2.8077298540506637,10
2,2,3,ポミチョッタ,牡2,56.0,長岡,萱野,美浦,2022103332,01142,アメリカンペイトリオット ,ブリッサ ,ブラックホーク ,-1.587257137352567,5
3,2,4,トウカイクレオス,牝2,55.0,Ｍデムーロ,菊川,美浦,2022102825,05212,ミスターメロディ ,トウカイポプリ ,タイキシャトル ,-1.4305517275231547,4
4,3,5,ロッキンミー,牝2,52.0,▲佐藤,杉浦,美浦,2022107050,01207,スクリーンヒーロー ,キセキノショウリ ,フジキセキ ,-2.8878903560989446,11
5,3,6,コーシューパンジャ,牡2,56.0,石橋脩,勢司,美浦,2022102769,01077,ゴールドドリーム ,ココクイーン ,キングカメハメハ ,-3.109880408202732,13
6,4,7,ハクサンリバーブ,牡2,56.0,内田博,松山,美浦,2022100239,00422,ハクサンムーン ,サウンドウェーブ ,シンボリクリスエス ,-3.055156171025449,12
7,4,8,サンラグナベルデ,牝2,55.0,横山武,小野,美浦,2022101324,01170,ポアゾンブラック ,ティーゲット ,ゼンノロブロイ ,-2.3924257093065115,7
8,5,9,アカデミズム,牝2,55.0,西村太,佐藤吉,美浦,2022106759,01131,ダノンバラード ,アカデミック Academic(加) ,ヘニーヒューズ Henny Hughes(米) ,-1.6722842450006241,6
9,5,10,ピコレッド,牡2,56.0,木幡巧,牧,美浦,2022107272,01162,ヘニーヒューズ Henny Hughes(米) ,シーイズチャンプ ,ダノンシャンティ ,-1.4151220460936105,3
10,6,11,プレミアムハニー,牝2,55.0,横山和,鈴木伸,美浦,2022103358,01140,スマートファルコン ,ハニームーナー ,アドマイヤムーン ,-1.02652470127688,2
11,6,12,ロドラント,牝2,55.0,岩部,蛯名利,美浦,2022103339,00726,アメリカンペイトリオット ,レーヌベルキス ,マンハッタンカフェ ,-0.3151306902011809,1
12,7,13,ルックアトミー,牝2,52.0,▲石田,菊沢,美浦,2022103727,01203,ナダル Nadal(米) ,アップトゥユー ,サウスヴィグラス ,-2.459598942645737,8
13,7,14,トルティーナ,牝2,55.0,吉田豊,高橋文,美浦,2022106102,00733,サンダースノー Thunder Snow(愛) ,ブラックシュガー ,ブラックタイド ,-2.459598942645737,8
14,8,15,グレイスフルマーチ,牡2,56.0,戸崎圭,中村,栗東,2022101044,05386,ヘニーヒューズ Henny Hughes(米) ,メイグレイス ,ネオユニヴァース ,-3.1397421103659955,14
15,8,16,スカイスクレイパー,牡2,55.0,☆原,矢野,美浦,2022103074,01184,マジェスティックウォリアー Majestic Warrior(米) ,アンヌ ,タイキシャトル ,-3.1397421103659955,14
