,式別,馬番,配当,人気
0,単勝,12,5640,13
1,複勝,12,1440,13
2,複勝,4,180,1
3,複勝,13,180,3
4,枠連,4-8,680,2
5,馬連,4-12,19300,61
6,ワイド,4-12,5130,61
7,ワイド,12-13,3330,50
8,ワイド,4-13,470,2
9,馬単,12→4,40410,128
10,3連複,4-12-13,21240,114
11,3連単,12→4→13,178150,850
