,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,スマートワイス,牡5,57.0,川田,大久保,482(-2),栗東,2021105618,01088,ロードカナロア,スマートレイアー,ディープインパクト,-2.077780018775141,11
1,1,2,ファインライン,牡5,57.0,小崎,松永幹,486(0),栗東,2021102419,01152,ファインニードル,ディープサウス,ディープインパクト,-2.7683377943867153,16
2,2,3,メイショウシンタケ,牡8,57.0,太宰,千田,480(-12),栗東,2018106318,01037,ワールドエース,アドマイヤビアン,アドマイヤコジーン,-2.887885614202399,17
3,2,4,ブエナオンダ,牡5,58.0,田口,須貝,454(-4),栗東,2021105454,01208,リオンディーズ,オーサムウインド,ディープインパクト,-2.5750355826532054,15
4,3,5,ファーヴェント,牡5,57.0,高杉,藤原,512(-2),栗東,2021104893,01213,ハーツクライ,トータルヒート,Street Cry,-0.2831236824790724,2
5,3,6,シンフォーエバー,牡4,57.0,吉村,森秀,508(-2),栗東,2022110114,01216,Complexity,Praising,Pulpit,-2.199143182996166,12
6,4,7,キープカルム,牡5,58.0,坂井,中竹,500(+4),栗東,2021105119,01163,ロードカナロア,ダンスアミーガ,サクラバクシンオー,0.6337060842096721,1
7,4,8,サイルーン,セ7,57.0,岩田望,堀,466(-16),美浦,2019104838,01174,ディープインパクト,ハウオリ,キングカメハメハ,-0.4264319150767841,3
8,5,9,ファンダム,牡4,57.0,北村宏,辻,476(-4),美浦,2022105836,01043,サートゥルナーリア,ファナティック,ジャスタウェイ,-0.6119763417875488,5
9,5,10,エルトンバローズ,牡6,58.0,松若,杉山晴,520(-2),栗東,2020100680,01154,ディープブリランテ,ショウナンカラット,ブライアンズタイム,-2.5426515844131465,14
10,6,11,エコロアルバ,牡3,53.0,横山和,田村,476(-4),美浦,2023103184,01140,モズアスコット,スターアクトレス,フレンチデピュティ,-1.167038367647312,8
11,6,12,カズミクラーシュ,牡5,57.0,幸,吉岡,504(-4),栗東,2021105564,00732,モーリス,シャンボールフィズ,キングカメハメハ,-1.4966745286098804,9
12,7,13,メタルスピード,牡6,57.0,菱田,斎藤誠,514(-10),美浦,2020101772,01144,シルバーステート,マイビビアーヌ,Shamardal,-2.471119948386016,13
13,7,14,ミニトランザット,牡4,57.0,松山,杉山佳,472(-4),栗東,2022105230,01126,エピファネイア,イチオクノホシ,ゼンノロブロイ,-0.46874165725171113,4
14,7,15,ショウナンアデイブ,牡7,57.0,池添,高野,520(-10),栗東,2019105239,01032,ディープインパクト,シーヴ,Mineshaft,-0.8093544560723549,6
15,8,16,スリールミニョン,牝4,55.0,永島,高橋康,462(+2),栗東,2022105755,01187,ミスターメロディ,ルミノハレブタイ,クロフネ,-2.896151010326513,18
16,8,17,スイープアワーズ,牡6,57.0,国分優,宮地,466(+6),栗東,2020103428,01125,ディープインパクト,スイープトウショウ,エンドスウィープ,-0.8219283655074794,7
17,8,18,タガノエルピーダ,牝5,55.0,亀田,斉藤崇,484(+4),栗東,2021106550,01176,キズナ,タガノレヴェントン,キングカメハメハ,-1.8850051403321513,10
