,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,スリーソング,牡2,56.0,横山武,伊藤圭,美浦,2022103777,01170,ダノンレジェンド ,ファイトユアソング ,スズカマンボ ,0,0
1,1,2,インディーフィルム,牝2,55.0,津村,金成,美浦,2022101689,01092,サンダースノー Thunder Snow(愛) ,ベストピクチャー ,Dubawi ,0,1
2,2,3,アオイウィンダム,牝2,55.0,松岡,本間,美浦,2022105742,01085,レインボーライン ,アシドベリー ,スウェプトオーヴァーボード Swept Overboard(米) ,0,2
3,2,4,ホウヨウムーン,牝2,55.0,嶋田,伊坂,美浦,2022102024,01134,シャンハイボビー Shanghai Bobby(米) ,キュートガール ,ケイムホーム Came Home(米) ,0,3
4,3,5,ブルジョア,牝2,55.0,Ｍデムーロ,西田,美浦,2022101231,05212,ブルドッグボス ,クラウディア ,マンハッタンカフェ ,0,4
5,3,6,ベンヌ,牡2,56.0,田辺,久保田,美浦,2022101703,01075,パイロ Pyro(米) ,レッドフェザー ,ディープスカイ ,0,5
6,4,7,クラウンハート,牡2,56.0,石川,相沢,美浦,2022106071,01150,シニスターミニスター Sinister Minister(米) ,ノーブルクラウン ,ゼンノロブロイ ,0,6
7,4,8,キアヌ,牡2,56.0,鮫島駿,小崎,栗東,2022106585,01157,ディスクリートキャット Discreet Cat(米) ,ジョディーズロマン ,サムライハート ,0,7
8,5,9,ライヴドライバー,牡2,56.0,吉田隼,尾形,美浦,2022105609,01095,フォーウィールドライブ Four Wheel Drive(米) ,コマノレジェンド ,ストリートセンス Street Sense(米) ,0,8
9,5,10,キャストロププ,牡2,56.0,五十嵐,尾形,美浦,2022100749,01069,ルヴァンスレーヴ ,キャストロメファ ,トワイニング Twining(米) ,0,9
10,6,11,コスモベルツリー,牝2,55.0,野中,天間,美浦,2022104545,01158,ダノンバラード ,ミスベルツリー ,アグネスデジタル ,0,10
11,6,12,グリューネベルグ,牝2,55.0,シュタルケ,青木,美浦,2022106581,05115,ヘニーヒューズ Henny Hughes(米) ,グリューネヴォッヘ ,スペシャルウィーク ,0,11
12,7,13,マリエ,牝2,55.0,武豊,千田,栗東,2022106728,00666,Nyquist (米) ,ストームザヒル Storm the Hill(米) ,Get Stormy ,0,12
13,7,14,ブレトワルダ,牡2,56.0,柴田善,新開,美浦,2022102965,00641,マジェスティックウォリアー Majestic Warrior(米) ,クイーンマザー ,ハーツクライ ,0,13
14,8,15,ドウジギリ,牡2,56.0,松山,西園正,栗東,2022106891,01126,トランセンド ,スウィートピカンテ ,パイロ Pyro(米) ,0,14
15,8,16,ハナナラツボミ,牡2,56.0,菅原明,加藤士,美浦,2022106454,01179,モーニン ,ニシノコハク ,ゴールドアリュール ,0,15
