,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ブラックホーネット,牡2,56.0,岩田康,栗田,美浦,2022100480,05203,ダノンレジェンド ,デコレイト ,スペシャルウィーク ,0,0
1,2,2,アレスグート,牡2,56.0,木幡巧,牧,美浦,2022101095,01162,マインドユアビスケッツ Mind Your Biscuits(米) ,ホワイトポピー ,スウェプトオーヴァーボード Swept Overboard(米) ,0,1
2,3,3,ゴーゴーステーツ,牡2,56.0,横山武,久保田,美浦,2022104154,01170,サトノダイヤモンド ,パールウェディング ,Tapit (米) ,0,2
3,4,4,ヴィーデ,牡2,56.0,ルメール,戸田,美浦,2022100548,05339,ルヴァンスレーヴ ,ピアノボレロ ,ダンスインザダーク ,0,3
4,5,5,エルオレンス,牡2,56.0,菅原明,深山,美浦,2022101060,01179,フォーウィールドライブ Four Wheel Drive(米) ,ゴールドカルラ ,ゼンノロブロイ ,0,4
5,5,6,サンルーナ,牝2,55.0,松岡,堀内,美浦,2022105933,01085,ゴールドアクター ,ウエイブエール ,フリオーソ ,0,5
6,6,7,ニシノゲルマニウム,牡2,56.0,岩部,伊藤伸,美浦,2022107103,00726,アルアイン ,トーセントルマリン ,ノヴェリスト Novellist(愛) ,0,6
7,6,8,テンペストーソ,牡2,56.0,Ｍデムーロ,石栗,美浦,2022101784,05212,マクフィ Makfi(英) ,プライムシスター ,ルーラーシップ ,0,7
8,7,9,トレインザマインド,牡2,56.0,川田,中舘,美浦,2022104766,01088,マインドユアビスケッツ Mind Your Biscuits(米) ,ケアレスウィスパー ,フジキセキ ,0,8
9,7,10,プロフェータ,牡2,56.0,戸崎圭,斎藤誠,美浦,2022101061,05386,ハービンジャー Harbinger(英) ,サピアウォーフ ,クロフネ ,0,9
10,8,11,カンタベリーバイク,牡2,54.0,△小林脩,的場,美浦,2022105947,01183,ベルシャザール ,ケンコウランハート ,タニノギムレット ,0,10
11,8,12,アグネスヒーロー,牡2,56.0,西村淳,和田勇,美浦,2022100180,01171,マジェスティックウォリアー Majestic Warrior(米) ,ダイヤモンドアイズ ,マンハッタンカフェ ,0,11
