,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,パドメ,牝2,55.0,岩田望,清水久,栗東,2022107339,01174,エピファネイア ,エリドゥバビロン ,Bernstein ,0,0
1,2,2,トーケンサワー,牝2,55.0,柴田善,根本,美浦,2022103128,00641,ルーラーシップ ,イチゴミルフィーユ ,ヨハネスブルグ Johannesburg(米) ,0,1
2,3,3,レゼールドラペ,牡2,56.0,鮫島駿,高柳瑞,美浦,2022106398,01157,デクラレーションオブウォー ,ヤヤラーラ ,ゼンノロブロイ ,0,2
3,3,4,コウソクグルーヴ,牝2,55.0,津村,中舘,美浦,2022104876,01092,スワーヴリチャード ,ソニックグルーヴ ,フレンチデピュティ French Deputy(米) ,0,3
4,4,5,アミグダラ,牝2,55.0,嶋田,岩戸,美浦,2022107225,01134,アドマイヤムーン ,スガノグラスワン ,グラスワンダー ,0,4
5,4,6,タルバン,牡2,56.0,岩部,伊藤伸,美浦,2022103319,00726,ダノンバラード ,サンクタリリアス ,スウェプトオーヴァーボード Swept Overboard(米) ,0,5
6,5,7,グランノーヴ,牡2,56.0,木幡巧,牧,美浦,2022100103,01162,エポカドーロ ,イルミナーレ ,ハーツクライ ,0,6
7,5,8,カシオペア,牡2,56.0,松山,上原佑,美浦,2022106203,01126,ビッグアーサー ,リトルアマポーラ ,アグネスタキオン ,0,7
8,6,9,ボンヌソワレ,牝2,55.0,戸崎圭,宮田,美浦,2022105435,05386,レイデオロ ,ノッテビアンカ Notte Bianca(仏) ,Kendargent ,0,8
9,6,10,マンゲタック,牝2,55.0,武豊,古賀,美浦,2022103679,00666,ノーブルミッション Noble Mission(英) ,ラフォリア ,マンハッタンカフェ ,0,9
10,7,11,ウェーヴレット,牝2,55.0,横山和,菊沢,美浦,2022105333,01140,エピファネイア ,サザナミ ,ディープインパクト ,0,10
11,7,12,パトリオティズム,牝2,55.0,柴田大,南田,美浦,2022106112,01009,アメリカンペイトリオット ,ヒロコファンタジー ,ゼンノロブロイ ,0,11
12,8,13,イオリ,牝2,53.0,△小林脩,伊藤圭,美浦,2022103561,01183,イスラボニータ ,ホノカ ,ロージズインメイ Roses in May(米) ,0,12
13,8,14,ヴィンブルレー,牝2,55.0,ルメール,矢野,美浦,2022104758,05339,ナダル Nadal(米) ,グリューヴァイン ,ゴールドアリュール ,0,13
