,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,エイシンキャロッツ,牡2,56.0,三浦,小崎,栗東,2022100104,01122,コパノリッキー ,エーシンヴァーゴウ ,ファルブラヴ Falbrav(愛) ,0,0
1,1,2,ライストン,牝2,55.0,横山武,斎藤誠,美浦,2022104744,01170,ナダル Nadal(米) ,クィーンズバーン ,スペシャルウィーク ,0,1
2,2,3,コットンフラワー,牝2,55.0,木幡育,松永康,美浦,2022101365,01167,モーニン ,ヴィヴァント ,ハーツクライ ,0,2
3,2,4,ナックトライアンフ,牡2,53.0,▲佐藤,杉浦,美浦,2022102362,01207,バゴ Bago(仏) ,ナイキトライアンフ ,ボストンハーバー Boston Harbor(米) ,0,3
4,3,5,センノアバドン,牡2,56.0,柴田大,南田,美浦,2022102044,01009,キタノコマンドール ,シーキングトパーズ ,シーキングザダイヤ ,0,4
5,3,6,コガクボウ,牡2,56.0,伊藤,金成,美浦,2022105877,01119,ノーブルミッション Noble Mission(英) ,アプローズパワー ,クロフネ ,0,5
6,4,7,トリリオンボーイ,牡2,56.0,吉田隼,武井,美浦,2022102493,01095,マクフィ Makfi(英) ,フィメールモナーク ,ルーラーシップ ,0,6
7,4,8,ヒカリスペクトル,牡2,56.0,川須,松永康,美浦,2022106429,01128,リアルインパクト ,シゲルアサツキ ,ハードスパン Hard Spun(米) ,0,7
8,5,9,アブラカタブラ,牡2,56.0,岩部,武市,美浦,2022103331,00726,モズアスコット ,ファンファーレ ,フレンチデピュティ French Deputy(米) ,0,8
9,5,10,インパルアスール,牡2,56.0,武藤,武藤,美浦,2022101262,01169,ゴールドドリーム ,スビールアスール ,キンシャサノキセキ ,0,9
10,6,11,トラヴェリンバンド,牡2,56.0,ルメール,西村,栗東,2022104009,05339,シニスターミニスター Sinister Minister(米) ,コテキタイ ,サウスヴィグラス ,0,10
11,6,12,ボンジュールゼン,牡2,54.0,△小林脩,大和田,美浦,2022102651,01183,ダノンレジェンド ,ボンジュールヘニー ,ヘニーヒューズ Henny Hughes(米) ,0,11
12,7,13,バム,牡2,56.0,杉原,奥平,美浦,2022103327,01135,ロジャーバローズ ,デスティニーラブ ,アグネスデジタル ,0,12
13,7,14,サラサエンペラー,牡2,56.0,横山和,村田,美浦,2022102967,01140,タワーオブロンドン ,グローリアスローズ ,ロックオブジブラルタル ,0,13
14,8,15,ガストフロント,牡2,55.0,☆横山琉,水野,美浦,2022103029,01192,ロジャーバローズ ,ディアジーローズ ,ワイルドラッシュ Wild Rush(米) ,0,14
15,8,16,ドントゥザムーン,牡2,56.0,菅原明,高木,美浦,2022101863,01179,カレンブラックヒル ,ドナプリモ ,フリオーソ ,0,15
