,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ダルタニアン,牡4,58.0,木幡巧,牧,美浦,2020102938,01162,イスラボニータ ,ダルタヤ Daltaya(仏) ,Anabaa ,0,0
1,1,2,コンテネレッツア,牝3,54.0,ルメール,宮田,美浦,2021105367,05339,エピファネイア ,アドマイヤセプター ,キングカメハメハ ,0,1
2,2,3,ユニヴェール,牡3,56.0,三浦,高木,美浦,2021103044,01122,カリフォルニアクローム California Chrome(米) ,デヴェロッペ ,ボストンハーバー Boston Harbor(米) ,0,2
3,2,4,シトラール,牡3,56.0,岩田康,萩原,美浦,2021105596,05203,スワーヴリチャード ,ジンジャーパンチ Ginger Punch(米) ,Awesome Again (加) ,0,3
4,3,5,ロンドンアームズ,牝3,54.0,武豊,伊坂,美浦,2021105956,00666,グレーターロンドン ,エンブレマータ ,ウォーエンブレム War Emblem(米) ,0,4
5,3,6,ニシノコマチムスメ,牝3,54.0,野中,松山,美浦,2021107253,01158,ルーラーシップ ,ニシノハナムスメ ,ディープインパクト ,0,5
6,4,7,デルマプラクリティ,牡3,56.0,的場,的場,美浦,2021101985,01108,ロゴタイプ ,デルマオシマ ,ハービンジャー Harbinger(英) ,0,6
7,4,8,セキセイ,牡3,56.0,柴田大,田中剛,美浦,2021106253,01009,キズナ ,ビルズトレジャー ,ダノンシャンティ ,0,7
8,5,9,ゴヴェルナーレリコ,牝3,54.0,横山武,辻,美浦,2021105085,01170,エイシンフラッシュ ,スターズバース ,タートルボウル Turtle Bowl(愛) ,0,8
9,5,10,オルソビアンコ,牝4,55.0,☆横山琉,田村,美浦,2020102918,01192,ハービンジャー Harbinger(英) ,セウアズール ,ディープインパクト ,0,9
10,6,11,ブルーグロット,牡5,58.0,松岡,伊藤伸,美浦,2019101276,01085,ゴスホークケン ,マルターズクリス ,シンボリクリスエス ,0,10
11,6,12,メリトリオ,牡4,58.0,岩田望,大竹,美浦,2020100295,01174,キンシャサノキセキ ,アミーキティア ,プリサイスエンド Precise End(米) ,0,11
12,7,13,ドリームクルーズ,牝3,54.0,西村淳,戸田,美浦,2021104899,01171,エピファネイア ,パセンジャーシップ ,ダイワメジャー ,0,12
13,7,14,カイトグート,牝3,54.0,菅原明,和田雄,美浦,2021106308,01179,キズナ ,マリブウィン Malibu Win(米) ,Malibu Moon ,0,13
14,8,15,エガオニナッテ,牝3,53.0,☆小沢,高橋康,栗東,2021101601,01185,トーホウジャッカル ,トーホウアイランド ,Power ,0,14
15,8,16,ヤルヤン,牡3,55.0,杉原,伊藤大,美浦,2021110166,01135,Almanzor (仏) ,Indah ,Dabirsim ,0,15
16,8,17,ゴールドシーン,セ4,58.0,津村,林,美浦,2020103727,01092,エピファネイア ,ローガンサファイア ,ダイワメジャー ,0,16
