,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ハーパー,牝4,55.0,武豊,友道,栗東,2020103458,00666,ハーツクライ ,セレスタ Seresta(亜) ,Jump Start ,0,0
1,2,2,アスコルティアーモ,牝4,55.0,津村,林,美浦,2020103195,01092,キタサンブラック ,アスコルティ ,Danehill Dancer (愛) ,0,1
2,2,3,ラリュエル,牝5,55.0,北村友,矢作,栗東,2019104700,01102,ディープインパクト ,カウアイレーン ,キングカメハメハ ,0,2
3,3,4,モリアーナ,牝4,55.0,岩田康,武藤,美浦,2020103322,05203,エピファネイア ,ガルデルスリール ,ダイワメジャー ,0,3
4,3,5,ブレイディヴェーグ,牝4,57.0,ルメール,宮田,美浦,2020103242,05339,ロードカナロア ,インナーアージ ,ディープインパクト ,0,4
5,4,6,マスクトディーヴァ,牝4,56.0,川田,辻野,栗東,2020103054,01088,ルーラーシップ ,マスクオフ ,ディープインパクト ,0,5
6,4,7,フィアスプライド,牝6,55.0,Ｍデムーロ,国枝,美浦,2018100671,05212,ディープインパクト ,ストロベリーフェア Strawberry Fair(英) ,Kingmambo (米) ,0,6
7,5,8,コスタボニータ,牝5,55.0,松山,杉山佳,栗東,2019104968,01126,イスラボニータ ,レディイン Lady Ying(仏) ,Kendor ,0,7
8,5,9,フィールシンパシー,牝5,55.0,横山琉,小島,美浦,2019105768,01192,ベーカバド Behkabad(仏) ,スマートシンパシー ,ダンスインザダーク ,0,8
9,6,10,シンティレーション,牝5,55.0,戸崎圭,池上,美浦,2019105377,05386,ロードカナロア ,ファシネートダイア ,アグネスタキオン ,0,9
10,6,11,セントカメリア,牝5,55.0,鮫島駿,高野,栗東,2019105040,01157,ドゥラメンテ ,アドマイヤテレサ ,エリシオ Helissio(仏) ,0,10
11,7,12,コンクシェル,牝4,55.0,岩田望,清水久,栗東,2020105626,01174,キズナ ,ザナ ,Galileo (愛) ,0,11
12,7,13,モズゴールドバレル,牝5,55.0,シュタルケ,藤岡,栗東,2019110060,05115,Optimizer ,Sweeter Still ,ロックオブジブラルタル ,0,12
13,8,14,ライラック,牝5,55.0,横山武,相沢,美浦,2019103588,01170,オルフェーヴル ,ヴィーヴァブーケ ,キングカメハメハ ,0,13
14,8,15,ルージュリナージュ,牝5,55.0,横山和,宗像,美浦,2019103973,01140,スピルバーグ ,パンツァネッラ ,ルーラーシップ ,0,14
