,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ラファドゥラ,牝4,56.0,武豊,小島,美浦,2020103672,00666,ドゥラメンテ ,ラファダリ ,シングスピール Singspiel(愛) ,0,0
1,2,2,ヴルカーノ,牡6,58.0,シュタルケ,稲垣,美浦,2018109026,05115,スピルバーグ ,スプリングシーズンII Spring Season(英) ,Dansili ,0,1
2,3,3,レディントン,牡3,56.0,川田,杉山晴,栗東,2021105926,01088,サトノアラジン ,クラウンアスリート ,アフリート Afleet(加) ,0,2
3,4,4,ポリーフォリア,牝4,56.0,津村,鈴木伸,美浦,2020103076,01092,キタサンブラック ,メンディド Mended(米) ,Broken Vow ,0,3
4,5,5,テセラリアン,牝3,54.0,野中,鈴木慎,美浦,2021100338,01158,リアルスティール ,テセラレフィナード ,ファルブラヴ Falbrav(愛) ,0,4
5,5,6,エイシンケプラー,牡4,58.0,松岡,田中剛,美浦,2020106249,01085,エイシンヒカリ ,エイシンコクーン ,Unbridled's Song (米) ,0,5
6,6,7,ダイシンヤマト,牡4,58.0,吉田豊,戸田,美浦,2020101967,00733,ヤマカツエース ,ダイシンパーティー ,ブライアンズタイム Brian's Time(米) ,0,6
7,6,8,ニュージーズ,牡3,56.0,ルメール,木村,美浦,2021105807,05339,リアルスティール ,ミュージカルウェイ Musical Way(仏) ,Gold Away ,0,7
8,7,9,ポッドテオ,牡3,56.0,松山,畠山,美浦,2021106069,01126,ジャングルポケット ,ポッドシルビア ,ダノンシャンティ ,0,8
9,7,10,ファビュラススター,牡3,56.0,横山武,萩原,美浦,2021103478,01170,エピファネイア ,ヴンダーゾンネ ,グラスワンダー ,0,9
10,8,11,アップトゥミー,牝4,56.0,三浦,国枝,美浦,2020103641,01122,モーリス ,ムードインディゴ ,ダンスインザダーク ,0,10
11,8,12,セフィロ,牝4,56.0,横山和,菊沢,美浦,2020102836,01140,イスラボニータ ,クリスプウインド ,ハーツクライ ,0,11
