,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,アーデルリーベ,牝3,55.0,戸崎圭,斉藤崇,460(+6),栗東,2022104633,05386,ヘニーヒューズ  Henny Hughes(米)  ,アーデルハイト  ,アグネスタキオン  ,-0.0055026410268930424,11
1,1,2,ナムラモモ,牝3,55.0,小沢,羽月,436(+2),栗東,2022103078,01185,ダノンレジェンド  ,ナムラストロベリー  ,ヨハネスブルグ  Johannesburg(米)  ,1.5133104105703534,5
2,2,3,ペイドラロワール,牡3,57.0,和田竜,清水久,456(+2),栗東,2022103962,01018,ダイワメジャー  ,ルリオン  ,キングカメハメハ  ,-0.9874408940307273,15
3,2,4,ワイルドブッター,牡3,57.0,高倉,武英,502(-16),栗東,2022105077,01130,キンシャサノキセキ  ,ミセスワタナベ  ,Tapizar  ,2.850844655750734,3
4,3,5,ミルミナーヴァ,牝4,56.0,菱田,西園正,484(+2),栗東,2021106332,01144,ヘニーヒューズ  Henny Hughes(米)  ,ランミネルバ  ,アグネスタキオン  ,1.078052413117204,7
5,3,6,サムデイ,牝4,53.0,▲田山,新谷,442(-8),栗東,2021101033,01220,ストロングリターン  ,ヤサシイキモチ  ,ビッグサンデー  ,2.289946450032317,4
6,4,7,モンテディアーナ,牝3,55.0,坂井,四位,474(+14),栗東,2022104597,01163,ドレフォン  Drefong(米)  ,アズールムーン  ,Malibu Moon  ,1.4577842976838253,6
7,4,8,オースミライト,牝3,55.0,加藤,宮本,472(-4),栗東,2022103610,01156,ミッキーアイル  ,オースミマコ  ,フレンチデピュティ  French Deputy(米)  ,0.47813405624424693,9
8,5,9,ロードヴァルカン,牡3,57.0,岩田望,中村,464(0),栗東,2022100660,01174,ロードカナロア  ,レディルージュ  ,ブライアンズタイム  Brian's Time(米)  ,2.9462436352019763,2
9,5,10,キープライジング,牝4,56.0,井上,吉田,462(-4),栗東,2021103550,01151,ブリックスアンドモルタル  Bricks and Mortar(米)  ,ライジングリーズン  ,ブラックタイド  ,-0.9668068286975502,14
10,6,11,ヴェントインコーダ,牝3,55.0,田口,角田,464(0),栗東,2022103195,01208,ドレフォン  Drefong(米)  ,アイスブレイク  ,マンハッタンカフェ  ,-0.3366135726030435,12
11,6,12,セサンパ,牝3,53.0,◇今村,寺島,436(0),栗東,2022106915,01193,サートゥルナーリア  ,チャリオット  ,Dark Angel  ,-3.8710333052553074,16
12,7,13,セールヴォラン,牡4,58.0,松若,北出,452(+2),栗東,2021101057,01154,グァンチャーレ  ,スカイシーアキラ  ,Swiss Spirit  ,-0.4779918901164516,13
13,7,14,ヴリトラハン,牡3,57.0,高杉,千田,480(0),栗東,2022105302,01213,ロードカナロア  ,クラリスピンク  ,ネオユニヴァース  ,1.0445653133909083,8
14,8,15,コーリンラズベリー,牝5,56.0,松山,茶木,518(-3),栗東,2020107214,01126,ヘニーヒューズ  Henny Hughes(米)  ,コーリンベリー  ,サウスヴィグラス  ,4.426153152674817,1
15,8,16,セルヴァンス,セ3,57.0,長岡,小椋,434(+18),栗東,2022100654,01142,モーリス  ,ベルフィオーレ  ,ディープインパクト  ,0.3008106729808426,10
