,式別,馬番,配当,人気
0,単勝,3,6820,9
1,複勝,3,760,9
2,複勝,2,110,1
3,複勝,5,1090,10
4,枠連,1-2,450,1
5,馬連,2-3,2730,8
6,ワイド,2-3,1030,10
7,ワイド,3-5,16280,70
8,ワイド,2-5,1210,12
9,馬単,3→2,13200,33
10,3連複,2-3-5,21100,61
11,3連単,3→2→5,284700,514
