,race_type,course_len,ground_state,class,winner_pops,place_pops
137,芝,2600,稍重,オープン,,
138,芝,2600,重,オープン,,
139,芝,2600,不良,オープン,,
140,ダート,1150,全,all,4.49,4.68
141,ダート,1150,良,all,4.49,4.68
142,ダート,1150,稍重,all,,
143,ダート,1150,重,all,,
144,ダート,1150,不良,all,,
145,ダート,1150,全,未勝利,2.95,3.87
146,ダート,1150,良,未勝利,2.95,3.87
147,ダート,1150,稍重,未勝利,,
148,ダート,1150,重,未勝利,,
149,ダート,1150,不良,未勝利,,
150,ダート,1150,全,新馬,6.95,6.58
151,ダート,1150,良,新馬,6.95,6.58
152,ダート,1150,稍重,新馬,,
153,ダート,1150,重,新馬,,
154,ダート,1150,不良,新馬,,
155,ダート,1150,全,1勝クラス,5.33,5.05
156,ダート,1150,良,1勝クラス,5.33,5.05
157,ダート,1150,稍重,1勝クラス,,
158,ダート,1150,重,1勝クラス,,
159,ダート,1150,不良,1勝クラス,,
160,ダート,1150,全,2勝クラス,5.62,4.25
161,ダート,1150,良,2勝クラス,5.62,4.25
162,ダート,1150,稍重,2勝クラス,,
163,ダート,1150,重,2勝クラス,,
164,ダート,1150,不良,2勝クラス,,
165,ダート,1150,全,3勝クラス,3.94,4.31
166,ダート,1150,良,3勝クラス,3.94,4.31
167,ダート,1150,稍重,3勝クラス,,
168,ダート,1150,重,3勝クラス,,
169,ダート,1150,不良,3勝クラス,,
170,ダート,1150,全,オープン,6.92,8.31
171,ダート,1150,良,オープン,6.92,8.31
172,ダート,1150,稍重,オープン,,
173,ダート,1150,重,オープン,,
174,ダート,1150,不良,オープン,,
175,ダート,1700,全,all,4.92,5.88
176,ダート,1700,良,all,4.74,5.74
177,ダート,1700,稍重,all,8.06,8.41
178,ダート,1700,重,all,,
179,ダート,1700,不良,all,,
180,ダート,1700,全,未勝利,3.6,5.29
181,ダート,1700,良,未勝利,3.3,5.35
182,ダート,1700,稍重,未勝利,8.4,4.4
183,ダート,1700,重,未勝利,,
184,ダート,1700,不良,未勝利,,
185,ダート,1700,全,新馬,,
186,ダート,1700,良,新馬,,
187,ダート,1700,稍重,新馬,,
188,ダート,1700,重,新馬,,
189,ダート,1700,不良,新馬,,
190,ダート,1700,全,1勝クラス,7.37,6.42
191,ダート,1700,良,1勝クラス,7.34,5.88
192,ダート,1700,稍重,1勝クラス,7.71,12.43
193,ダート,1700,重,1勝クラス,,
194,ダート,1700,不良,1勝クラス,,
195,ダート,1700,全,2勝クラス,2.42,6.13
196,ダート,1700,良,2勝クラス,2.42,6.13
197,ダート,1700,稍重,2勝クラス,,
198,ダート,1700,重,2勝クラス,,
199,ダート,1700,不良,2勝クラス,,
200,ダート,1700,全,3勝クラス,14.4,8.8
201,ダート,1700,良,3勝クラス,14.4,8.8
202,ダート,1700,稍重,3勝クラス,,
203,ダート,1700,重,3勝クラス,,
204,ダート,1700,不良,3勝クラス,,
205,ダート,1700,全,オープン,3.0,5.6
206,ダート,1700,良,オープン,3.0,5.6
207,ダート,1700,稍重,オープン,,
208,ダート,1700,重,オープン,,
209,ダート,1700,不良,オープン,,
210,ダート,2400,全,all,,
211,ダート,2400,良,all,,
212,ダート,2400,稍重,all,,
213,ダート,2400,重,all,,
214,ダート,2400,不良,all,,
215,ダート,2400,全,未勝利,,
216,ダート,2400,良,未勝利,,
217,ダート,2400,稍重,未勝利,,
218,ダート,2400,重,未勝利,,
219,ダート,2400,不良,未勝利,,
220,ダート,2400,全,新馬,,
221,ダート,2400,良,新馬,,
222,ダート,2400,稍重,新馬,,
223,ダート,2400,重,新馬,,
224,ダート,2400,不良,新馬,,
225,ダート,2400,全,1勝クラス,,
226,ダート,2400,良,1勝クラス,,
227,ダート,2400,稍重,1勝クラス,,
228,ダート,2400,重,1勝クラス,,
229,ダート,2400,不良,1勝クラス,,
230,ダート,2400,全,2勝クラス,,
231,ダート,2400,良,2勝クラス,,
232,ダート,2400,稍重,2勝クラス,,
233,ダート,2400,重,2勝クラス,,
234,ダート,2400,不良,2勝クラス,,
235,ダート,2400,全,3勝クラス,,
236,ダート,2400,良,3勝クラス,,
237,ダート,2400,稍重,3勝クラス,,
238,ダート,2400,重,3勝クラス,,
239,ダート,2400,不良,3勝クラス,,
240,ダート,2400,全,オープン,,
241,ダート,2400,良,オープン,,
242,ダート,2400,稍重,オープン,,
243,ダート,2400,重,オープン,,
244,ダート,2400,不良,オープン,,
