,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202506050811,1,2,4,ミュージアムマイル,牡3,56.0,Ｃデム,0:2:31.5,,3,3.8,34.6,,栗東 高柳大,502(+2)
202506050811,2,5,10,コスモキュランダ,牡4,58.0,横山武,0:2:31.6,1/2,12,111.5,35.5,,美浦 加藤士,522(0)
202506050811,3,5,9,ダノンデサイル,牡4,58.0,戸崎圭,0:2:31.6,クビ,2,3.8,35.0,,栗東 安田,514(+6)
202506050811,4,3,5,レガレイラ,牝4,56.0,ルメー,0:2:31.7,1/2,1,3.3,34.6,,美浦 木村,482(+2)
202506050811,5,4,7,サンライズジパング,牡4,58.0,鮫島駿,0:2:31.8,3/4,13,122.5,34.8,,栗東 前川,524(0)
202506050811,6,8,16,タスティエーラ,牡5,58.0,松山,0:2:32.0,1,8,35.4,35.7,,美浦 堀,502(0)
202506050811,7,2,3,ジャスティンパレス,牡6,58.0,団野,0:2:32.1,1/2,5,12.7,35.2,,栗東 杉山晴,472(+2)
202506050811,8,1,1,エキサイトバイオ,牡3,56.0,荻野極,0:2:32.1,ハナ,7,29.7,35.5,,栗東 今野,482(+2)
202506050811,9,6,12,マイネルエンペラー,牡5,58.0,丹内,0:2:32.3,1,11,111.5,35.9,,栗東 清水久,490(+2)
202506050811,10,4,8,シュヴァリエローズ,牡7,58.0,北村友,0:2:32.4,3/4,14,154.1,35.5,,栗東 清水久,464
202506050811,11,7,13,アドマイヤテラ,牡4,58.0,川田,0:2:32.4,クビ,9,50.3,36.1,,栗東 友道,498(+4)
202506050811,12,8,15,エルトンバローズ,牡5,58.0,西村淳,0:2:32.6,1.1/4,16,180.3,36.1,,栗東 杉山晴,514(-6)
202506050811,13,3,6,メイショウタバル,牡4,58.0,武豊,0:2:32.6,クビ,4,5.8,36.7,,栗東 石橋,512(+4)
202506050811,14,1,2,シンエンペラー,牡4,58.0,坂井,0:2:32.6,アタマ,6,26.6,36.0,,栗東 矢作,496(-2)
202506050811,15,7,14,アラタ,牡8,58.0,大野,0:2:32.8,3/4,15,174.2,35.9,,美浦 和田勇,494(+10)
202506050811,16,6,11,ミステリーウェイ,セ7,58.0,松本,0:2:32.8,クビ,10,53.5,36.8,,栗東 小林,500(0)
