,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,リスペクトライト,牡3,54.0,▲石神道,和田郎,,美浦,2023101191,01209,フリオーソ,シャルロットノアル,フジキセキ,-1.7146081895891712,12
1,1,2,アンセートゥモダン,牝3,55.0,大野,杉浦,,美浦,2023105251,01096,ルヴァンスレーヴ,メジャーフォルム,ダイワメジャー,-1.9813828210408653,15
2,2,3,イセッセイ,牝3,52.0,▲遠藤,伊藤伸,,美浦,2023106294,01218,エスポワールシチー,イセエビ,ハービンジャー,-1.5104823095766755,10
3,2,4,フェイスリフト,牡3,57.0,原,嘉藤,,美浦,2023106605,01184,フォーウィールドライブ,ポンポン,ブラックタイド,-1.3136874475160238,8
4,3,5,アクロスメモリア,牝3,55.0,武豊,田島,,美浦,2023102399,00666,マインドユアビスケッツ,ハッピーダイアリー,アグネスタキオン,1.8162490248757783,1
5,3,6,ジョアンズベスト,牝3,55.0,木幡巧,牧,,美浦,2023102963,01162,フォーウィールドライブ  Four Wheel Drive(米),レディジョアン  Lady Joanne(米),Orientate,-0.8860172331526394,6
6,4,7,ドラリズム,牡3,57.0,武藤,武藤,,美浦,2023100515,01169,コパノリッキー,ラッキーレディ,ネオユニヴァース,0.21311105949981413,4
7,4,8,シュヴァルツシルト,牡3,57.0,津村,田島,,美浦,2023100359,01092,ミスチヴィアスアレックス,パワフルノンコ,ワークフォース,0.4356403596213474,3
8,5,9,ノアシルヴィ,牝3,52.0,▲石田,天間,,美浦,2023101392,01203,ファインニードル,ミエノプリンプリン,ハービンジャー,-1.224908761946873,7
9,5,10,ココロノヒコボシ,牡3,54.0,▲舟山,嘉藤,,美浦,2023102867,01221,シャンハイボビー  Shanghai Bobby(米),サクラカリーナ,エンパイアメーカー  Empire Maker(米),-2.2257173064431237,16
10,6,11,リオンアンサー,牝3,55.0,柴田善,佐藤吉,,美浦,2023100328,00641,リオンディーズ,ポリアンサ,ハービンジャー,-1.3850959544684673,9
11,6,12,リトルコリンズ,牡3,57.0,石橋脩,小手川,,美浦,2023104846,01077,ダノンスマッシュ,ハンナリト,ネオユニヴァース,-1.8646688748393538,13
12,7,13,エコロセレナ,牝3,55.0,岩田康,斎藤誠,,美浦,2023107403,05203,コントレイル,アマルティア,アドマイヤムーン,-0.01793289113553975,5
13,7,14,トヨサカエ,牡3,57.0,吉田豊,高橋文,,美浦,2023104545,00733,ディーマジェスティ,シュンラン,アルデバラン,0.9479201899966371,2
14,8,15,ピクシーゲイル,牡3,57.0,木幡育,松永康,,美浦,2023104811,01167,ダノンスマッシュ,エインセル,メイショウサムソン,-1.5304316683788517,11
15,8,16,ラインカシウス,牝3,52.0,▲小林美,水野,,美浦,2023101662,01206,リアルスティール,ミヤコノユメ,ロードカナロア,-1.9570965293477776,14
