,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202608010103,1,6,11,ハードシングス,牡3,57.0,松若,0:1:26.6,,3,5.8,37.6,,栗東 小崎,462(+2)
202608010103,2,1,2,オプティモ,牡3,57.0,吉村,0:1:26.6,アタマ,8,15.9,37.9,,栗東 緒方,490(+2)
202608010103,3,1,1,メイショウバルク,牡3,57.0,松山,0:1:27.0,2.1/2,2,5.4,38.3,,栗東 安達,490(+2)
202608010103,4,8,15,フリッシュ,牡3,57.0,藤懸,0:1:27.1,1/2,14,142.8,37.5,,栗東 平田,492(0)
202608010103,5,2,4,アニマレイ,牡3,57.0,川田,0:1:27.1,アタマ,1,3.1,38.5,,栗東 須貝,482(+8)
202608010103,6,2,3,ムスクレスト,牡3,57.0,武豊,0:1:27.1,クビ,7,13.0,37.4,,栗東 安田,466(+6)
202608010103,7,3,6,ユウトザケンケン,牡3,57.0,小崎,0:1:27.6,2.1/2,16,325.1,38.4,,栗東 小崎,484(+16)
202608010103,8,5,9,ジャーナーリア,牡3,57.0,和田竜,0:1:27.7,3/4,6,9.6,38.9,,栗東 本田,520(+2)
202608010103,9,6,12,サンタカリス,牝3,55.0,田口,0:1:27.8,クビ,9,36.9,38.4,,栗東 秋山,440(-2)
202608010103,10,5,10,グレートアゲイン,牡3,57.0,鮫島駿,0:1:28.0,1.1/4,15,298.6,38.0,,栗東 牧浦,480(+22)
202608010103,11,7,13,モズプリフォール,牡3,57.0,坂井,0:1:28.0,アタマ,4,7.5,38.8,,栗東 矢作,504(-12)
202608010103,12,7,14,サマーブリザード,牡3,56.0,☆西塚,0:1:28.1,クビ,13,97.3,38.6,,栗東 吉田,458(+6)
202608010103,13,8,16,ココラッシー,牡3,57.0,ハマー,0:1:28.1,クビ,5,9.2,39.0,,栗東 西園翔,440(0)
202608010103,14,4,8,トーアウィリアム,牡3,54.0,▲森田,0:1:28.5,2,10,72.0,40.1,,栗東 牧田,486(+10)
202608010103,15,3,5,ルーセントムーン,牡3,57.0,斎藤,0:1:30.0,9,11,72.0,41.0,,栗東 高橋一,482(+18)
202608010103,16,4,7,セレブトーチ,牝3,55.0,西村淳,0:1:31.4,8,12,90.4,43.0,,栗東 坂口,500(-6)
