,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202505040904,1,3,3,キングサーガ,セ8,60.0,小野寺,0:3:23.1,,5,10.5,13.5,7-7-7-6,栗東 小栗,494,-8
202505040904,2,2,2,ダノンロッキー,牡4,60.0,五十嵐,0:3:23.6,3,4,5.8,13.6,2-3-3-2,美浦 萩原,500,+4
202505040904,3,8,14,マルベリーシチー,牡5,60.0,上野,0:3:24.1,2.1/2,3,5.3,13.6,1-1-1-1,美浦 奥平,500,0
202505040904,4,7,12,ロードヴァレンチ,セ6,57.0,▲坂口,0:3:24.4,2,1,3.4,13.6,4-4-5-5,美浦 中舘,488,-6
202505040904,5,5,7,ブライテストドーン,セ5,60.0,草野,0:3:25.3,5,6,12.6,13.7,5-5-3-4,美浦 田島,524,+4
202505040904,6,3,4,ダスク,牡5,57.0,▲井上,0:3:26.5,7,8,23.3,13.8,10-10-11-11,栗東 石坂,470,-8
202505040904,7,6,10,カレンマックナイト,牡6,60.0,黒岩,0:3:26.8,2,9,51.1,13.8,12-10-8-8,栗東 平田,444,-4
202505040904,8,1,1,シルヴァーデューク,セ5,60.0,小牧加,0:3:27.3,2.1/2,2,3.8,13.8,5-5-6-7,栗東 前川,452,-6
202505040904,9,4,5,イチリュウオー,牡4,57.0,▲水沼,0:3:28.5,7,13,147.0,13.9,8-8-9-10,美浦 小西,472,+16
202505040904,10,8,13,ヴァランセカズマ,牡8,60.0,大江圭,0:3:28.8,1.3/4,7,16.1,13.9,2-2-2-2,美浦 蛯名利,504,+2
202505040904,11,7,11,グラツィオーソ,牝3,56.0,江田勇,0:3:29.1,2,12,100.3,13.9,11-10-9-9,美浦 田中剛,470,+4
202505040904,12,5,8,アドミラブルエース,牡6,60.0,伴,0:3:30.8,10,10,61.3,14.1,8-8-12-12,美浦 蛯名利,496,+16
202505040904,13,4,6,ベルウッドウズメ,セ6,60.0,石神深,0:3:33.8,大,11,84.5,14.3,14-14-14-14,美浦 本間,496,+10
202505040904,14,6,9,テーオービースト,牡3,56.0,▲土田,0:3:34.2,2,14,228.2,14.3,13-13-13-13,美浦 清水英,486,+20
