,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202505040809,1,5,6,ウイントワイライト,牝3,54.0,武豊,0:1:21.4,,3,6.3,32.5,12-12,栗東 西園翔,446,0
202505040809,2,6,8,タイセイカレント,牡3,56.0,横山武,0:1:21.4,アタマ,7,22.2,33.5,7-6,栗東 矢作,484,-2
202505040809,3,6,7,デンクマール,牡3,56.0,ルメー,0:1:21.4,ハナ,1,2.3,33.8,4-3,美浦 田中博,546,-8
202505040809,4,2,2,ゴールドスター,牡4,58.0,川田,0:1:21.4,クビ,5,9.3,33.1,10-10,美浦 奥村武,460,0
202505040809,5,8,12,メイケイバートン,牡6,58.0,津村,0:1:21.6,1,8,22.5,34.3,2-2,栗東 中竹,472,0
202505040809,6,8,11,イブニングタイド,牝3,54.0,菅原明,0:1:21.6,アタマ,10,67.3,33.9,5-5,美浦 林,456,+12
202505040809,7,7,10,マテンロウサン,牡3,56.0,横山典,0:1:21.7,1/2,2,4.4,34.1,3-3,栗東 昆,506,+6
202505040809,8,3,3,ジュンゴールド,牡4,58.0,戸崎圭,0:1:21.8,3/4,6,16.9,33.5,11-10,栗東 友道,482,0
202505040809,9,5,5,オンザブルースカイ,牡3,56.0,和田竜,0:1:21.8,ハナ,12,126.3,34.0,7-6,栗東 谷,458,0
202505040809,10,7,9,エクストラバック,牡4,58.0,石橋脩,0:1:22.0,1,9,64.5,34.9,1-1,栗東 西園正,498,-2
202505040809,11,1,1,ミッキーチャレンジ,牡6,58.0,佐々木,0:1:22.0,クビ,11,119.2,33.8,9-9,栗東 中内田,506,+2
202505040809,12,4,4,エフォートレス,牡4,58.0,横山和,0:1:22.0,ハナ,4,7.6,34.2,5-6,美浦 嘉藤,478,-14
