,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202505040807,1,7,14,メリディアンスター,牡3,56.0,ルメー,0:1:22.7,,1,2.8,35.5,3-3,美浦 加藤征,490,+4
202505040807,2,4,8,ゼンカイパイロ,牡4,58.0,横山典,0:1:23.6,5,5,9.6,36.0,7-6,美浦 伊坂,486,-4
202505040807,3,8,16,マクミランテソーロ,牡4,58.0,横山武,0:1:23.9,2,2,4.4,36.8,2-2,美浦 田中剛,480,0
202505040807,4,4,7,ホウオウゴールド,牡3,56.0,横山和,0:1:24.0,クビ,4,8.6,36.6,5-4,美浦 栗田,476,+4
202505040807,5,5,9,マルセルテソーロ,牡3,56.0,戸崎圭,0:1:24.2,1.1/4,7,10.1,36.7,3-4,美浦 牧,494,-2
202505040807,6,5,10,トモジャシーマ,セ5,58.0,津村,0:1:24.5,1.3/4,8,17.1,36.8,7-6,美浦 鈴木伸,504,+4
202505040807,7,6,11,スプランドゥール,牡4,58.0,柴田大,0:1:24.5,ハナ,3,8.2,35.9,10-12,美浦 和田雄,476,-2
202505040807,8,3,5,アイスブレイカー,牡4,58.0,内田博,0:1:24.6,1,15,199.3,36.2,10-10,美浦 伊坂,500,+2
202505040807,9,1,2,キカオクベシ,牝3,52.0,△長浜,0:1:25.1,3,10,58.3,36.1,15-15,美浦 根本,444,-2
202505040807,10,6,12,メリーサウンド,牝3,54.0,原,0:1:25.1,クビ,14,179.0,35.7,16-16,美浦 小笠,458,0
202505040807,11,2,4,マイネルブリオン,牡3,56.0,松岡,0:1:25.2,クビ,11,94.1,36.5,13-13,美浦 矢野,478,-2
202505040807,12,2,3,ジェイエルバース,牡3,56.0,石川,0:1:25.6,2.1/2,9,55.7,38.5,1-1,美浦 小西,504,+6
202505040807,13,1,1,アルシミスト,セ4,58.0,大野,0:1:25.7,3/4,12,95.5,37.4,10-10,美浦 浅利,514,-4
202505040807,14,3,6,ジーティーエンジン,牡3,53.0,▲遠藤,0:1:26.2,3,13,173.7,37.5,14-13,美浦 伊藤圭,518,-8
202505040807,15,8,15,ミツカネリブラ,牡3,56.0,木幡巧,0:1:26.3,3/4,16,222.5,38.2,9-9,美浦 清水英,486,+6
202505040807,16,7,13,ポッドボウ,牡3,56.0,菅原明,0:1:26.4,クビ,6,9.9,38.6,5-8,栗東 矢作,500,-7
