,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202505040812,1,1,1,フウセツ,牡3,56.0,大野,0:1:24.1,,1,2.7,35.4,1-1,美浦 鈴木慎,492,+4
202505040812,2,2,2,マサノユニコーン,牡3,56.0,菅原明,0:1:24.4,2,2,3.9,35.6,2-2,美浦 小島,470,-4
202505040812,3,3,3,オセアエクスプレス,牡4,58.0,佐々木,0:1:24.5,1/2,5,16.6,35.6,3-3,美浦 菊川,488,+4
202505040812,4,6,9,ワーズワース,牡7,58.0,ルメー,0:1:24.5,クビ,3,4.0,35.0,11-10,栗東 高橋一,492,-10
202505040812,5,8,12,カルパ,牡4,58.0,川田,0:1:24.6,クビ,4,6.2,35.3,7-8,栗東 須貝,450,+4
202505040812,6,5,7,メモリーグラス,牡5,58.0,北村宏,0:1:24.8,1.1/2,10,80.8,35.5,9-8,美浦 松永康,490,-2
202505040812,7,4,5,アオカミ,セ6,58.0,原田和,0:1:25.1,1.3/4,11,160.4,35.9,7-6,美浦 松山,488,-6
202505040812,8,6,8,トルーマンテソーロ,牡6,58.0,石橋脩,0:1:25.1,ハナ,8,34.2,36.2,5-3,美浦 菊川,532,+4
202505040812,9,8,13,トロピカルヒーロー,牡5,56.0,△長浜,0:1:25.2,1/2,13,193.4,35.3,12-12,美浦 根本,540,+4
202505040812,10,5,6,アルジェンタージョ,牝4,56.0,木幡巧,0:1:25.2,アタマ,7,26.4,35.8,9-10,美浦 伊藤圭,480,+10
202505040812,11,7,10,レヴィテーション,牝4,56.0,原,0:1:25.5,2,6,20.5,35.7,12-12,美浦 中川,448,+6
202505040812,12,4,4,バイファーザベスト,牡6,58.0,和田竜,0:1:25.7,1,9,50.1,36.8,3-3,栗東 清水久,530,-6
202505040812,13,7,11,ターニングアップ,牡7,58.0,内田博,0:1:26.1,2.1/2,12,175.9,37.0,5-6,美浦 南田,484,+4
