,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202505040810,1,8,16,ロジアデレード,牡4,57.0,武豊,0:1:35.1,,4,10.7,35.6,2-2,美浦 稲垣,500,+2
202505040810,2,5,9,ヴァンドーム,牡4,57.0,ルメー,0:1:35.1,クビ,3,5.0,35.3,5-5,栗東 安田,498,-4
202505040810,3,8,15,ルグランヴァン,牡3,55.0,菅原明,0:1:35.1,ハナ,2,3.7,35.2,5-5,美浦 高木,488,0
202505040810,4,2,3,ベンヌ,牡3,55.0,横山武,0:1:35.8,4,1,2.1,36.5,1-1,美浦 久保田,508,0
202505040810,5,2,4,フルオール,牡6,57.0,横山和,0:1:36.1,1.3/4,5,23.9,35.3,15-13,美浦 斎藤誠,478,+2
202505040810,6,6,11,ベルウェザー,牡4,55.0,戸崎圭,0:1:36.2,3/4,9,40.1,35.3,14-14,栗東 茶木,490,+6
202505040810,7,3,6,トウカイポワール,牝4,53.0,松岡,0:1:36.4,1.1/4,10,59.4,36.7,3-3,栗東 北出,470,+2
202505040810,8,3,5,タイゲン,牡6,55.0,和田竜,0:1:36.4,ハナ,15,162.3,36.4,8-7,栗東 平田,470,-10
202505040810,9,4,8,グロッシェン,牡4,56.0,木幡巧,0:1:36.4,クビ,8,39.9,36.0,10-10,美浦 宮田,484,+6
202505040810,10,4,7,ラフエイジアン,セ5,55.0,佐々木,0:1:36.5,1/2,6,26.4,36.1,10-10,美浦 中舘,464,-10
202505040810,11,1,1,オレデイイノカ,牡7,54.0,内田博,0:1:36.5,クビ,11,79.7,36.5,7-7,美浦 古賀,512,+2
202505040810,12,6,12,ラップスター,牡5,55.0,吉田豊,0:1:36.6,1/2,12,81.5,36.9,3-3,栗東 森秀,512,+6
202505040810,13,7,13,メイショウフジ,牡5,56.0,大野,0:1:36.8,1.1/4,7,33.4,35.6,16-16,美浦 和田勇,492,+8
202505040810,14,7,14,ギーロカスタル,牡5,54.0,原,0:1:36.9,1/2,14,147.1,36.2,12-12,美浦 伊藤大,484,+4
202505040810,15,5,10,グランツアーテム,牡7,55.0,三浦,0:1:37.0,クビ,13,122.0,36.9,8-9,美浦 中川,516,0
202505040810,16,1,2,モナルヒ,セ6,54.0,石橋脩,0:1:40.5,大,16,298.8,39.6,12-14,栗東 小崎,462,-30
