,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,増減
202505040912,1,3,5,チュウワチーフ,牡3,56.0,三浦,0:1:35.7,,1,3.4,35.2,2-2,栗東 小崎,474,-4
202505040912,2,4,8,セブンマイスター,牡4,58.0,横山武,0:1:35.8,1/2,2,4.5,35.1,4-3,美浦 千葉,536,-4
202505040912,3,3,6,フィーチャリング,セ3,56.0,原,0:1:36.2,2.1/2,9,21.4,34.5,14-16,美浦 和田郎,462,+14
202505040912,4,5,10,エドワードバローズ,牡3,56.0,菅原明,0:1:36.4,3/4,3,7.1,35.4,7-8,美浦 奥村武,480,-4
202505040912,5,1,2,オリーブグリーン,牡3,56.0,柴田大,0:1:36.7,2,5,8.4,35.8,7-6,栗東 矢作,540,+14
202505040912,6,7,14,コーリンカルベラ,牡4,58.0,吉田豊,0:1:36.8,クビ,8,21.3,35.2,14-14,美浦 小野,488,-8
202505040912,7,1,1,ジェシーテソーロ,牡3,56.0,石橋脩,0:1:36.8,クビ,6,12.4,36.1,4-3,美浦 牧,486,+2
202505040912,8,6,11,ティアップドライブ,牡3,56.0,丸田,0:1:37.0,1.1/2,14,90.4,35.9,9-9,美浦 奥平,504,+6
202505040912,9,2,4,ハウリングウィンド,牡3,56.0,松岡,0:1:37.1,クビ,10,24.7,36.7,1-1,栗東 安田,500,0
202505040912,10,8,15,マリンバンカー,牡4,58.0,岩部,0:1:37.2,1/2,11,33.4,36.3,4-6,美浦 南田,496,+6
202505040912,11,8,16,エヌマエリシュ,牡3,56.0,津村,0:1:37.4,1.1/2,7,15.4,36.0,12-13,美浦 上原博,476,+12
202505040912,12,7,13,グアラニア,牡4,56.0,△長浜,0:1:37.5,1/2,13,78.2,36.9,3-3,美浦 矢野,498,0
202505040912,13,5,9,キチロクキャップ,牡3,56.0,内田博,0:1:37.5,クビ,15,128.2,36.2,12-11,美浦 松永康,524,0
202505040912,14,4,7,キョウエイカンセ,牡4,55.0,▲遠藤,0:1:37.7,1.1/4,4,7.9,36.2,14-14,美浦 萱野,500,+2
202505040912,15,2,3,ユイノオールイン,牡3,56.0,木幡初,0:1:38.0,1.3/4,16,189.5,36.8,11-11,美浦 竹内,494,0
202505040912,16,6,12,プルシャプラ,牡3,56.0,石川,0:1:38.1,3/4,12,75.8,37.0,9-9,美浦 池上,518,+10
