month,day,course,times,days
1,4,6,1,1
1,4,8,1,1
1,5,6,1,2
1,5,8,1,2
1,10,6,1,3
1,10,8,1,3
1,11,6,1,4
1,11,8,1,4
1,12,6,1,5
1,12,8,1,5
1,17,6,1,6
1,17,8,1,6
1,18,6,1,7
1,18,8,1,7
1,24,6,1,8
1,24,8,1,8
1,24,10,1,1
1,25,6,1,9
1,25,8,1,9
1,25,10,1,2
1,31,5,1,1
1,31,8,2,1
1,31,10,1,3
2,1,5,1,2
2,1,8,2,2
2,1,10,1,4
2,7,5,1,3
2,7,8,2,3
2,7,10,1,5
2,8,5,1,4
2,8,8,2,4
2,8,10,1,6
2,14,5,1,5
2,14,8,2,5
2,14,10,1,7
2,15,5,1,6
2,15,8,2,6
2,15,10,1,8
2,21,5,1,7
2,21,9,1,1
2,21,10,1,9
2,22,5,1,8
2,22,9,1,2
2,22,10,1,10
2,28,6,2,1
2,28,9,1,3
2,28,10,1,11
3,1,6,2,2
3,1,9,1,4
3,1,10,1,12
3,7,6,2,3
3,7,9,1,5
3,8,6,2,4
3,8,9,1,6
3,14,6,2,5
3,14,7,1,1
3,14,9,1,7
3,15,6,2,6
3,15,7,1,2
3,15,9,1,8
3,21,6,2,7
3,21,7,1,3
3,21,9,1,9
3,22,6,2,8
3,22,7,1,4
3,22,9,1,10
3,28,6,3,1
3,28,7,1,5
3,28,9,2,1
3,29,6,3,2
3,29,7,1,6
3,29,9,2,2
4,4,6,3,3
4,4,9,2,3
4,5,6,3,4
4,5,9,2,4
4,11,3,1,1
4,11,6,3,5
4,11,9,2,5
4,12,3,1,2
4,12,6,3,6
4,12,9,2,6
4,18,3,1,3
4,18,6,3,7
4,18,9,2,7
4,19,3,1,4
4,19,6,3,8
4,19,9,2,8
4,25,3,1,5
4,25,5,2,1
4,25,8,3,1
4,26,3,1,6
4,26,5,2,2
4,26,8,3,2
