month,day,course,times,days
1,5,6,1,1
1,5,7,1,1
1,6,6,1,2
1,6,7,1,2
1,11,6,1,3
1,11,7,1,3
1,12,6,1,4
1,12,7,1,4
1,13,6,1,5
1,13,7,1,5
1,18,6,1,6
1,18,7,1,6
1,19,6,1,7
1,19,7,1,7
1,25,6,1,8
1,25,7,1,8
1,25,10,1,1
1,26,6,1,9
1,26,7,1,9
1,26,10,1,2
2,1,5,1,1
2,1,8,1,1
2,1,10,1,3
2,2,5,1,2
2,2,8,1,2
2,2,10,1,4
2,8,5,1,3
2,8,8,1,3
2,8,10,1,5
2,9,5,1,4
2,9,8,1,4
2,9,10,1,6
2,15,5,1,5
2,15,8,1,5
2,15,10,1,7
2,16,5,1,6
2,16,8,1,6
2,16,10,1,8
2,22,5,1,7
2,22,8,1,7
2,22,10,1,9
2,23,5,1,8
2,23,8,1,8
2,23,10,1,10
3,1,6,2,1
3,1,9,1,1
3,1,10,1,11
3,2,6,2,2
3,2,9,1,2
3,2,10,1,12
3,8,6,2,3
3,8,9,1,3
3,9,6,2,4
3,9,9,1,4
3,15,6,2,5
3,15,7,2,1
3,15,9,1,5
3,16,6,2,6
3,16,7,2,2
3,16,9,1,6
3,22,6,2,7
3,22,7,2,3
3,22,9,1,7
3,23,6,2,8
3,23,7,2,4
3,23,9,1,8
3,29,6,3,1
3,29,7,2,5
3,29,9,2,1
3,30,6,3,2
3,30,7,2,6
3,30,9,2,2
4,5,6,3,3
4,5,9,2,3
4,6,6,3,4
4,6,9,2,4
4,12,3,1,1
4,12,6,3,5
4,12,9,2,5
4,13,3,1,2
4,13,6,3,6
4,13,9,2,6
4,19,3,1,3
4,19,6,3,7
4,19,9,2,7
4,20,3,1,4
4,20,6,3,8
4,20,9,2,8
4,26,3,1,5
4,26,5,2,1
4,26,8,2,1
4,27,3,1,6
4,27,5,2,2
4,27,8,2,2
5,3,4,1,1
5,3,5,2,3
5,3,8,2,3
5,4,4,1,2
5,4,5,2,4
5,4,8,2,4
5,10,4,1,3
5,10,5,2,5
5,10,8,2,5
5,11,4,1,4
5,11,5,2,6
5,11,8,2,6
5,17,4,1,5
5,17,5,2,7
5,17,8,2,7
5,18,4,1,6
5,18,5,2,8
5,18,8,2,8
5,24,4,1,7
5,24,5,2,9
5,24,8,2,9
5,25,4,1,8
5,25,5,2,10
5,25,8,2,10
5,31,5,2,11
5,31,8,2,11
6,1,5,2,12
6,1,8,2,12
