,race_time,race_id,race_name
0,0950,202503010201,3歳未勝利
1,0955,202506030601,3歳未勝利
2,1005,202509020601,3歳未勝利
3,1015,202503010202,3歳未勝利
4,1025,202506030602,3歳未勝利
5,1035,202509020602,3歳未勝利
6,1045,202503010203,3歳未勝利
7,1055,202506030603,3歳未勝利
8,1105,202509020603,3歳未勝利
9,1115,202503010204,3歳未勝利
10,1135,202509020604,3歳未勝利
11,1205,202503010205,3歳未勝利
12,1215,202506030605,3歳未勝利
13,1225,202509020605,3歳1勝クラス
14,1235,202503010206,4歳以上1勝クラス
15,1245,202506030606,3歳未勝利
16,1255,202509020606,4歳以上1勝クラス
17,1305,202503010207,4歳以上1勝クラス
18,1315,202506030607,3歳1勝クラス
19,1325,202509020607,4歳以上2勝クラス
20,1335,202503010208,4歳以上1勝クラス
21,1345,202506030608,3歳1勝クラス
22,1355,202509020608,天神橋特別
23,1405,202503010209,花見山特別
24,1415,202506030609,印西特別
25,1425,202509020609,忘れな草賞
26,1440,202503010210,やまびこS
27,1450,202506030610,鹿野山特別
28,1520,202503010211,福島民報杯
29,1530,202506030611,春雷S
30,1540,202509020611,桜花賞
31,1601,202503010212,4歳以上1勝クラス
32,1610,202506030612,4歳以上1勝クラス
33,1630,202509020612,梅田S
