,race_time,race_id,race_name
0,0950,202408070901,2歳未勝利
1,1005,202406050901,2歳未勝利
2,1020,202408070902,2歳未勝利
3,1035,202406050902,2歳未勝利
4,1050,202408070903,2歳未勝利
5,1105,202406050903,2歳未勝利
6,1135,202406050904,2歳未勝利
7,1210,202408070905,2歳新馬
8,1225,202406050905,2歳新馬
9,1240,202408070906,2歳1勝クラス
10,1255,202406050906,2歳新馬
11,1310,202408070907,3歳以上1勝クラス
12,1325,202406050907,3歳以上1勝クラス
13,1340,202408070908,3歳以上1勝クラス
14,1355,202406050908,3歳以上1勝クラス
15,1415,202408070909,春待月賞
16,1425,202406050909,ベストウィッシュC
17,1450,202408070910,フォーチュンC
18,1501,202406050910,コントレイルC
19,1530,202408070911,ベテルギウスS
20,1540,202406050911,ホープフルS
21,1605,202408070912,カウントダウンS
22,1625,202406050912,ファイナルS
